gene	log2fc	significant
HNRPDL	0.2141	False
LAMP1	0.2141	True
MYO6	0.2141	True
AK1	0.2141	False
TBCB	0.2141	False
SNCG	0.2141	False
SLC9A3R1	0.2141	True
GNG12	0.2141	True
SRI	0.2141	False
GNA13	0.2141	False
MTSS1L	0.2141	False
TNIK	0.2141	True
PFKFB2	0.2141	True
HEBP1	0.2141	False
HIST1H1C	0.2141	False
GAD1	0.2016	False
PLEC	0.2016	False
CPNE3	0.2016	True
CD81	0.2016	False
ASRGL1	0.2016	False
PHYHD1	0.2016	False
RSU1	0.2016	False
PLCD3	0.2016	False
C11ORF54	0.2016	False
LLGL1	0.2016	False
MAN2C1	0.2016	True
PBXIP1	0.2016	True
RAC1	0.2016	True
OGDHL	-0.2009	True
ABAT	-0.2009	False
RPS19	-0.2009	False
LRRC59	-0.2009	True
FFR	-0.2009	True
RPL31	-0.2009	False
RPS15A	-0.2009	True
PAM	-0.2009	False
NDUFAF2	-0.2009	False
ATP6V0A1	-0.2009	True
APOO	-0.2009	True
PPP2R5C	-0.2009	False
DDOST	-0.2009	True
PPP2CA	-0.2009	True
GNAO1	-0.2009	False
PDE10A	-0.2009	False
KTN1	-0.2009	False
CPLX1	-0.2009	False
COX7C	-0.2009	True
TRAPPC6B	-0.2009	True
ITPR1	-0.2009	False
TRIM32	-0.2009	True
SH3GL3	-0.2009	False
PPP2R5E	-0.2009	False
MRPS22	-0.2009	True
CLASP1	-0.2009	True
UQCRB	-0.2009	True
NENF	0.189	False
NT5C2	0.189	False
HNRNPD	0.189	False
CTNNA2	0.189	True
H2AFZ	0.189	False
CPT2	0.189	False
PGD	0.189	True
CBR1	0.189	False
PDLIM5	0.189	False
CST3	0.189	False
LMNB2	0.189	True
FARP1	0.189	False
GAS7	0.189	True
GLIPR2	0.189	False
PPP1R1B	0.189	False
WDR13	0.189	True
TALDO1	0.189	True
DNPEP	0.189	True
KCTD12	0.189	False
KIF5B	0.189	True
TPBG	-0.1844	False
QRSL1	-0.1844	False
SH3GL1	-0.1844	False
PGM2L1	-0.1844	False
PRKACB	-0.1844	False
RABGAP1	-0.1844	False
SEC23A	-0.1844	False
SSR4	-0.1844	False
GAD2	-0.1844	False
PDHA1	-0.1844	True
NCEH1	-0.1844	False
SV2A	-0.1844	True
SYP	-0.1844	True
YWHAH	-0.1844	True
LY6H	-0.1844	False
OPALIN	-0.1844	False
RPS5	-0.1844	False
RPS6	-0.1844	False
AK4	-0.1844	False
EIF3A	-0.1844	False
NDUFA4	-0.1844	True
PREPL	-0.1844	True
YWHAG	-0.1844	False
CLTA	-0.1844	True
NUDT19	-0.1844	False
HSPA12A	-0.1844	True
TTLL12	-0.1844	True
PPP3R1	-0.1844	False
QARS	-0.1844	False
SGSM1	-0.1844	False
SPTBN2	-0.1844	True
CMBL	0.1763	True
TLN1	0.1763	False
PGM3	0.1763	False
CDC42EP4	0.1763	False
PRKCA	0.1763	False
H2AFX	0.1763	False
GMPPA	0.1763	False
RDX	0.1763	True
MAOB	0.1763	False
KCNAB1	0.1763	False
DUT	0.1763	False
MARCKS	0.1763	False
VCAN	0.1763	False
ADD3	0.1763	True
AHCYL1	0.1763	True
COX5A	-0.1681	True
COX4I1	-0.1681	True
ATP2B1	-0.1681	False
RAPGEF4	-0.1681	False
CACYBP	-0.1681	False
PDE1C	-0.1681	False
CLCN5	-0.1681	False
ALDH2	-0.1681	True
FSD1	-0.1681	True
UBE2O	-0.1681	False
MADD	-0.1681	False
RPS3A	-0.1681	False
ACSL3	-0.1681	True
RPL12	-0.1681	False
GDAP1L1	-0.1681	False
DNAJC5	-0.1681	True
SYN1	-0.1681	True
DNAJC6	-0.1681	False
MAPK8	-0.1681	False
STX1A	-0.1681	False
PDHB	-0.1681	False
MYO5A	-0.1681	False
GNB2L1	-0.1681	False
CHCHD6	-0.1681	False
TMSB10	-0.1681	False
AGK	-0.1681	False
SGIP1	-0.1681	False
SLC25A22	-0.1681	True
EXOC4	-0.1681	True
CYB5R3	0.1635	True
ADH5	0.1635	False
FLNB	0.1635	False
STMN1	0.1635	False
DDAH2	0.1635	False
LMNA	0.1635	True
SORL1	0.1635	False
ITGB8	0.1635	False
SEPT2	0.1635	False
LAMTOR1	0.1635	False
SNX9	0.1635	True
CNP	0.1635	False
PTRF	0.1635	False
NT5E	0.1635	False
PSMA6	0.1635	False
DAK	0.1635	True
TSFM	-0.152	True
MGST3	-0.152	False
MFN2	-0.152	True
AP3B2	-0.152	False
RAB2A	-0.152	True
TIMM50	-0.152	False
PGRMC1	-0.152	True
SLC25A11	-0.152	False
PDHX	-0.152	True
VARS	-0.152	False
FBXO2	-0.152	False
ABHD12	-0.152	True
EIF3K	-0.152	False
A1BG	-0.152	False
A2M	-0.152	False
BAG6	-0.152	False
REEP1	-0.152	False
DUSP23	-0.152	False
SYNPR	-0.152	False
NDUFS5	-0.152	False
TUFM	-0.152	False
BCAP31	-0.152	True
PARS2	-0.152	False
SAMM50	-0.152	True
C6ORF174	-0.152	True
CA1	-0.152	False
MGEA5	-0.152	True
BZW1	-0.152	False
AP1M1	-0.152	True
MTCH1	-0.152	False
NF1	-0.152	True
COPB1	-0.152	False
COPG2	-0.152	False
HAPLN2	-0.152	False
MAP2	-0.152	False
SEC24C	-0.152	False
ATP6V0D1	-0.152	False
FMNL2	0.1506	True
MAPK3	0.1506	False
LIMS1	0.1506	False
EIF4B	0.1506	True
LDHB	0.1506	True
ANLN	0.1506	False
GSPT2	0.1506	False
AMPD2	0.1506	False
DYNLL1	0.1506	False
CTNNB1	0.1506	False
SERPINE2	0.1506	False
CSTB	0.1506	False
SEPT10	0.1506	False
NSFL1C	0.1506	True
AGRN	0.1506	False
PSAT1	0.1506	False
CFL1	0.1506	True
ISOC1	0.1506	False
ANKFY1	0.1506	True
HDHD2	0.1506	False
FABP5	0.1506	True
PLXNB1	0.1506	False
LTA4H	0.1506	False
PLLP	0.1506	False
BPNT1	0.1506	False
RUVBL1	0.1506	False
NDRG1	0.1506	False
PNP	0.1506	False
RCN1	0.1506	False
NME1	0.1506	False
PTGR2	0.1375	False
NINJ2	0.1375	False
ME1	0.1375	False
CHL1	0.1375	False
CADM4	0.1375	False
TSN	0.1375	False
ARL3	0.1375	True
LACTB2	0.1375	False
EIF4H	0.1375	False
RPS6KA2	0.1375	False
AKR7A2	0.1375	False
PLXNB2	0.1375	False
GNAI2	0.1375	False
PTGR1	0.1375	False
MPI	0.1375	False
PXK	0.1375	False
HSPA1A	0.1375	True
CPNE6	0.1375	False
GSN	0.1375	False
CAPNS1	0.1375	False
GMFB	0.1375	False
C9ORF64	0.1375	False
SGTB	-0.1361	False
RPS14	-0.1361	False
RPS11	-0.1361	False
OPTN	-0.1361	False
ACTN2	-0.1361	False
NIPSNAP1	-0.1361	False
ACAA2	-0.1361	False
TUBAL3	-0.1361	False
PPP2R5D	-0.1361	False
ATP1A2	-0.1361	False
CCDC6	-0.1361	False
SLC25A6	-0.1361	False
CLCN6	-0.1361	False
HPX	-0.1361	False
PSMC3	-0.1361	False
HSP90AA1	-0.1361	False
PDIA4	-0.1361	False
RAB3GAP1	-0.1361	False
RAB3C	-0.1361	False
RAB1A	-0.1361	False
MT-ND1	-0.1361	False
COX5B	-0.1361	False
EEA1	-0.1361	False
NARS	-0.1361	False
PDE1A	-0.1361	False
NAPB	-0.1361	False
DLAT	-0.1361	False
CALM1	-0.1361	False
SEC22B	-0.1361	False
PPM1H	-0.1361	False
GLUL	-0.1361	False
CANX	-0.1361	False
GAP43	-0.1361	False
