gene	log2fc	pval
MMP7	2.27	0.1445103
ANKDD1A	1.08	0.1445244
SLC11A1	2.03	0.1445821
MGAT5B	0.946	0.1447452
LINC01120	-0.853	0.1447763
ANKRD34A	1.33	0.1448065
CALN1	0.959	0.1448634
LOC101927020	0.991	0.1449682
ERO1B	1.24	0.1450208
HOXD1	1.34	0.1450579
GAP43	1.44	0.1451028
ANKRD12	1.16	0.1451458
ZNF429	-1.26	0.1451494
SLPI	-1.29	0.1452166
LOC102724612	2.64	0.1452232
ACVR1B	2.52	0.1452317
LOC645321	1.86	0.1452361
GPATCH4	-1.01	0.1452848
DCUN1D2	1.09	0.145295
RHNO1	-1.3	0.1453326
LOC100293211	1.12	0.1453449
ESRRG	1.76	0.1454248
SAMHD1	-1.13	0.145444
CENPT	1.03	0.1455209
FSTL4	1.99	0.1455333
EFEMP1	0.961	0.1455334
CD27	-1.67	0.1456417
CXCL5	0.93	0.1457114
PHKA1	1.03	0.1457464
RASA2	0.914	0.1458565
ONECUT2	0.955	0.1458699
DUSP3	0.862	0.1458736
GSTZ1	-2.08	0.1458879
KANSL3	1.21	0.1459218
CHST2	-0.923	0.1459363
SEMA6D	-0.915	0.1459443
LTBP2	-0.831	0.1459555
SHANK2	1.33	0.1459587
LHX5	1.37	0.1459674
PARD3B	1.09	0.1459999
TAGLN	-2.61	0.1460176
PPM1G	0.897	0.1460248
ELAVL2	-1.61	0.1460346
CDC37L1	1.06	0.1460764
PNPLA4	-1.06	0.1461108
GIF	-0.924	0.1461225
WDFY3-AS2	-0.849	0.1461492
CA5BP1	0.974	0.1461767
SVIL	1.78	0.1462236
CLRN1	1.35	0.1462336
SLC25A34	-1.95	0.1462676
KIF1B	1.04	0.1463489
LOC100505498	2.04	0.1463778
HGF	1.29	0.146382
LINC00028	-2.11	0.1463927
PTPN21	-1.13	0.1464017
KMT2B	2.0	0.1464064
LINC01467	-1.59	0.146535
TMEM120B	0.902	0.1465692
ERVH-3	1.67	0.1465792
BCL6B	1.8	0.146622
CTTN	-0.838	0.1466756
UAP1	0.857	0.1467367
PCDHB1	-1.2	0.1467448
CDC25C	-2.11	0.1467797
RNF144A-AS1	1.8	0.1468026
PRM2	1.38	0.1468039
SLC22A1	1.44	0.1468571
SLC2A5	1.32	0.146923
SECISBP2L	-0.815	0.1470251
TM7SF2	-2.43	0.1471389
TMCO5A	3.12	0.1471534
ERLEC1	2.34	0.1472409
ANGPTL4	3.52	0.1472439
LAMB2	-0.913	0.147284
FAM76A	-0.828	0.1473645
CRIM1	-0.815	0.1473864
NADSYN1	1.22	0.147401
KCNIP2-AS1	1.49	0.1474277
LOC101929162	3.04	0.1474494
EID1	0.858	0.1474618
TMEM198B	-1.2	0.1475064
TMEM25	0.886	0.1475348
NHLH2	0.984	0.1475447
RGS13	2.84	0.1475521
ACTR2	0.836	0.1475954
PAQR9	1.02	0.1476023
EIF4E3	1.02	0.1476064
KCNN1	0.855	0.1476602
DIDO1	1.14	0.1477014
CBR3-AS1	-1.6	0.1477073
IL9	-2.37	0.1477572
ZNF385B	2.12	0.1477629
ZNF663P	3.65	0.1477903
CHRNA5	1.66	0.1477935
LPXN	-0.89	0.1478053
LOC101927588	1.75	0.1478117
TMEM201	1.04	0.1478801
PPAT	0.879	0.1478814
TMEM229B	0.989	0.1479062
DHX57	-1.76	0.1479426
PTPN2	-1.08	0.147956
ASXL3	2.48	0.1479795
SLC7A13	1.69	0.147996
IGSF6	-2.09	0.1481245
KIF19	-1.07	0.1481485
HOPX	1.58	0.1482779
ZNF250	0.831	0.1483204
HYAL1	-1.3	0.1483481
LOC105370829	1.2	0.1483525
HNF1B	1.1	0.1483616
TRAM1L1	-0.847	0.1483926
ST6GALNAC5	-0.881	0.1484062
INS	1.62	0.1484122
HK3	-0.894	0.1484385
TICAM1	1.16	0.1485802
SNHG17	0.812	0.1485992
IRS4	0.824	0.1486201
ROMO1	-0.821	0.1486625
DZIP1	0.841	0.1487397
TTC30B	-1.08	0.1487563
NVL	-1.0	0.1487638
ZNF598	3.13	0.1488009
LIG3	-1.17	0.1488081
SNX24	1.08	0.1488129
NTN4	-1.11	0.148857
PAX8-AS1	-1.54	0.1489226
MSL3	-0.953	0.1489413
HLA-B	-1.15	0.1489485
LPGAT1	-0.825	0.1489659
DOCK6	0.818	0.1489742
C16ORF78	1.47	0.148988
WNT8B	-1.77	0.1489891
SERGEF	1.02	0.1489942
HPS4	1.06	0.1490173
SH3PXD2A-AS1	-1.56	0.1490581
RAB27A	1.06	0.14913
ESD	1.2	0.1491559
SLC7A8	2.2	0.149212
ZMAT3	0.823	0.1492391
LINC01215	-2.55	0.1492509
AQP11	-0.824	0.1492693
MR1	-2.28	0.1492739
PCDH8	-1.46	0.149301
FOXD2-AS1	1.42	0.1493492
LINC00610	2.27	0.1493802
LOC105377458	1.48	0.1494079
SIX3-AS1	1.97	0.1494159
VAV3	2.71	0.149485
RTKN2	-2.33	0.1495173
ASGR1	2.77	0.1495885
LOC102724382	0.999	0.149589
GLRB	1.37	0.1495891
LINC00165	0.819	0.1495954
GLT8D2	-2.03	0.1496441
MFSD11	0.82	0.1496688
PPP1R3B	2.16	0.1497045
PIKFYVE	0.841	0.1497525
LSM3	0.948	0.1497917
TMUB2	-0.895	0.1498011
ZNF500	0.884	0.1498548
PIK3CD-AS2	-1.59	0.1498683
PCMTD1	1.92	0.1498892
HNRNPDL	0.917	0.1499208
OR5I1	0.916	0.149958
GDPD1	1.31	0.1500639
ATP5S	-1.46	0.1500776
CYBRD1	-1.02	0.1500819
FGF14	1.55	0.1501353
TTC30A	-1.03	0.1501594
SNX16	-0.873	0.1501755
ASXL2	0.927	0.1501902
PDE9A	-1.86	0.1502052
FOLH1B	-2.01	0.1502062
SMIM10L1	1.08	0.1502119
CD7	1.42	0.1502525
TNNI3K	-1.87	0.1502613
LOC101928487	1.0	0.1502734
FAM181B	1.06	0.1503611
KANK4	-1.07	0.1503777
SH3GL3	2.35	0.1503961
NEK6	1.25	0.1504026
CXXC5	0.911	0.1504459
DCSTAMP	-1.42	0.1505196
TLCD1	-1.51	0.1505262
SRSF11	1.14	0.1506119
HENMT1	-0.806	0.1506212
JPH3	1.16	0.1506557
FUT8	-1.01	0.150708
NUP62CL	-1.6	0.1507602
DUOXA2	1.73	0.1508094
HSPA12B	-0.852	0.1508349
CELF4	0.871	0.1508364
PRSS50	2.65	0.1508371
TMPRSS6	-1.05	0.1509076
ARSB	-0.904	0.150941
LLGL2	0.81	0.1509709
LOC101929459	1.44	0.1510205
VAC14	1.01	0.1510414
KLHL5	-1.38	0.1510694
LARP1	-0.807	0.1510828
LOC101928409	1.23	0.1511339
SFTPC	-1.11	0.1511453
CYP2B6	1.35	0.1511699
OSM	1.55	0.1511705
FAM175A	-0.835	0.1511776
PSG5	1.86	0.1512358
ITFG1	-1.11	0.1512415
LOC105372762	-1.44	0.1512532
SNTG2	2.16	0.1512674
TEC	0.815	0.1512746
UBOX5	-1.12	0.1512762
FCN1	0.836	0.1513014
LOC284933	2.08	0.1513138
EXOC3L4	-1.75	0.1513328
LRRC25	-1.67	0.1514228
PPP1R10	-2.78	0.1514229
YTHDC1	2.15	0.1514892
SGCD	1.35	0.1515097
CCSER2	2.83	0.1516313
RAG1	1.4	0.1516733
LOC728485	-1.78	0.1516749
LOC100130642	2.15	0.1516894
LOC644090	1.95	0.1516905
SCARF1	-1.02	0.1516986
POU6F1	0.901	0.1517693
SAMD4A	0.891	0.1517958
FUT2	0.81	0.1518427
RTEL1	0.931	0.1518444
SERPING1	-0.9	0.1518713
IZUMO4	-1.06	0.1518904
LOC286114	1.02	0.1519384
RIDA	-1.09	0.1520378
MRPL47	0.889	0.1520453
LOC286272	0.894	0.1520592
MCAT	0.836	0.1520646
HIKESHI	-0.804	0.1520867
LOC101927701	-1.42	0.1520904
ERGIC3	-1.59	0.1521752
DNAJC15	-1.6	0.1521883
S1PR3	-0.804	0.1522066
KIAA1217	-1.62	0.1522249
HS3ST3A1	-0.974	0.1522797
DDHD1	1.04	0.1523023
MLF1	2.07	0.1524044
WNT7B	-0.954	0.1524387
ZNF154	2.06	0.1525195
RHBDL3	1.2	0.1526222
DNAH17-AS1	-2.06	0.1527218
CREM	-0.904	0.1527228
EGFL6	2.46	0.152758
SLC39A14	1.61	0.1527632
FAM120A	-0.904	0.1528322
HEBP2	-2.44	0.1528474
LEPROT	-1.15	0.1528636
RNF185	-0.857	0.1528831
TADA2A	1.82	0.1528938
CCNT1	1.08	0.1529229
ABTB2	3.04	0.1529464
ZNF420	0.923	0.1529776
UNC13A	1.23	0.1530236
SPACA7	0.91	0.1530254
HILPDA	2.95	0.1530264
PELI3	0.818	0.1530316
DOK5	0.967	0.1530535
LOC100505985	0.904	0.153063
ATP5G2P1	-0.938	0.153096
PPME1	-2.51	0.1531162
ALKBH5	0.833	0.1531188
MOCS1	1.02	0.1531231
LOC101928597	3.12	0.1531241
DAPP1	1.33	0.1532073
KDR	-1.62	0.1532872
SCN7A	1.65	0.1533036
COLGALT2	-0.871	0.1533067
RNF180	-1.08	0.1533353
DSC1	-1.29	0.1534047
LOC729970	0.967	0.1534243
FPGT	-1.0	0.1535826
NEFL	1.36	0.1536227
LINC01465	0.923	0.1536543
VHL	1.04	0.1536717
PRSS2	0.925	0.1537303
RPPH1	2.11	0.1537448
TMEM8A	-1.29	0.1537875
AGAP11	-1.16	0.1538383
SMIM22	1.07	0.1538501
PLEKHG6	0.799	0.1538857
STOML1	-0.931	0.1539264
LOC101929341	2.93	0.15397
SNX29	-0.996	0.1541149
CST6	2.76	0.1541198
ADAM33	-1.98	0.1541373
ADAMTSL4	-1.72	0.1542094
LLGL1	-0.848	0.154254
NFKBIE	0.995	0.1542679
FCF1	-1.09	0.1542838
HSD17B2	2.48	0.1543026
PIAS4	0.92	0.1543101
SENP6	0.976	0.1543298
SYNE2	1.57	0.154361
CENPBD1P1	0.824	0.1543656
MANEAL	-2.28	0.1543782
PDX1	1.68	0.1544117
ROGDI	-0.823	0.154444
GLIS3	0.843	0.1544548
PLA2G2D	0.845	0.1544986
NSMF	1.09	0.1545768
SLC16A9	-1.58	0.1545805
SRBD1	-0.996	0.1546569
LOC151174	1.16	0.1547845
SPTLC3	-2.1	0.1548861
KCNAB2	1.27	0.1549151
LINC01118	-1.46	0.1549262
SDHAF1	0.806	0.1549543
MUC5B	2.09	0.1549993
ZFYVE26	-0.818	0.1550011
RPS27L	-0.828	0.1550475
PRSS3	1.62	0.1550992
PNPLA7	-1.3	0.1551215
KIRREL3-AS3	-1.36	0.1551403
GBX1	0.868	0.1551452
KRBOX1-AS1	1.49	0.1552169
BMPER	1.61	0.155277
LOC441178	3.39	0.1552956
MTNR1A	-2.18	0.1552956
TRAF1	-1.43	0.1553016
LINC00354	2.53	0.1553977
KLHL4	-0.905	0.1554251
ZNF493	0.978	0.1554306
GPRC5A	1.08	0.1555314
STK38L	0.833	0.1555461
PDCD1LG2	1.45	0.1555795
LTBP1	-1.45	0.1556517
GCM1	1.27	0.1556719
HELQ	-0.927	0.1556753
BCAR1	0.878	0.1556977
HLA-G	-1.14	0.1557318
WASF2	-1.1	0.1557347
LOC101928658	-1.88	0.1558181
HHAT	1.02	0.1558628
MIR31HG	0.858	0.1558648
CHRDL2	-1.12	0.1558997
NLRP3	-1.32	0.1559558
NIPAL3	-0.915	0.1559809
ZNF252P	-1.05	0.1559873
FLJ11710	0.915	0.1560469
MGARP	1.71	0.1560489
KEL	2.49	0.1560812
PIGB	-0.91	0.1561257
UCKL1	-0.945	0.1561632
SEC22B	-2.05	0.1561649
SDK2	-0.817	0.1562343
CTDSPL	-1.49	0.1562432
PLPPR4	-0.82	0.1563577
ZNF99	-1.16	0.1564011
GLRX	1.08	0.1564333
SPATA21	-0.845	0.1564837
FSD1	0.896	0.1564902
KANSL1-AS1	0.978	0.156529
USP39	0.856	0.1565898
ZNF225	0.805	0.1565907
RNF141	-0.908	0.1566197
FOXD3-AS1	1.98	0.1566294
FAM168B	0.88	0.1566468
TH	-2.96	0.1566646
GPSM1	1.89	0.1566898
LINC01107	1.29	0.1566948
CCDC125	-0.813	0.1566967
MCM3AP	-1.66	0.1567091
LOC101928288	2.16	0.156715
EHD1	-0.98	0.156741
CRLF2	1.32	0.1567492
PDZD7	-1.33	0.1567506
CD69	-0.943	0.1567888
ZNF620	-1.2	0.1568208
PHBP19	-1.15	0.1568222
AP4S1	-0.999	0.1568235
IRAK3	-0.946	0.1568959
PLK4	2.5	0.156915
TMEM176B	1.19	0.156918
HES2	-2.18	0.1569465
ZKSCAN2	0.928	0.1569502
LOC100506314	1.2	0.1569706
CCNYL1	-1.27	0.1570013
PDGFB	-2.29	0.1570161
BRS3	-0.806	0.1570518
LOC105378589	1.82	0.1570682
PTBP2	-0.841	0.1570804
TRAPPC3L	2.67	0.1570822
PTPN14	-2.41	0.1571613
LCE1E	0.892	0.1571778
BAG2	1.01	0.1571787
ATG101	0.937	0.1571919
TAF7	0.82	0.1572113
BCL7A	0.95	0.1572558
RAP2A	1.1	0.1573064
PPP1R37	1.84	0.1574102
DDAH1	2.36	0.1574262
LYZ	-0.916	0.157497
PAXIP1-AS1	1.1	0.1575263
C11ORF31	1.24	0.1575664
EVA1B	0.842	0.1575863
ITGB1	-2.19	0.1576059
AHNAK	-0.839	0.1577822
CD79A	-1.16	0.1578488
SLCO2B1	-1.22	0.1578831
LOC100506446	1.48	0.1578839
SETD4	0.887	0.1580805
CAMK1G	0.902	0.1581035
CUBN	-0.902	0.1581183
ABCA7	0.891	0.1581282
RDH5	-0.95	0.15823
LOC102724891	-0.812	0.158273
LOC102723380	1.1	0.1583054
LINC00470	0.807	0.158316
SERPINA6	1.88	0.1583326
CCDC129	2.64	0.158431
CYP2A6	1.05	0.1584611
MYL12A	2.82	0.1584648
HIST1H2BD	0.9	0.1584716
OR51B4	-0.845	0.158695
BCHE	-0.801	0.1587081
CABS1	1.34	0.1588435
SYT17	-0.84	0.1589805
MAP2K1	0.91	0.1589901
FAM65A	-1.57	0.1590167
PAAF1	-1.48	0.1590698
PHEX	-1.06	0.1591107
LOC101928441	0.938	0.1591544
MYO7B	1.06	0.1591708
C20ORF85	2.63	0.1592145
TGM4	-1.34	0.1592169
GIPC3	-0.821	0.1592377
NAA25	1.21	0.1592556
PAGE5	-0.798	0.1592713
EMC1	-0.94	0.1592947
ZNF606	-0.82	0.1592978
EHF	-1.03	0.1592999
GSK3B	-1.57	0.1593454
KIF12	1.12	0.1593798
RAD21L1	2.08	0.1594111
ZNF358	0.795	0.1594477
NFIB	1.32	0.1594527
PRPF4B	2.89	0.1594986
DSN1	-1.03	0.1595132
GRK5	0.918	0.159605
C1ORF220	1.08	0.1596737
INSR	0.903	0.1596845
ELAVL3	0.809	0.1597212
ZRANB3	-1.93	0.1597214
OR5J2	2.07	0.1597599
ACOXL	-2.29	0.1598078
VNN3	1.92	0.1598135
CDKL3	0.804	0.1598349
SPIRE2	-1.14	0.159849
F11	1.47	0.1599257
TFAP2B	2.58	0.159928
F8	-0.837	0.1599397
VWA1	-1.4	0.1600373
RNFT1	-1.24	0.1600377
TREH	1.66	0.1600378
LINC00967	3.25	0.1600548
RALGPS1	0.834	0.160177
EMD	-0.877	0.1601883
CCDC187	0.909	0.1601958
TRH	-0.947	0.1601966
LINC01578	0.821	0.160226
MEST	-1.02	0.1603483
TMEM26	1.54	0.1603883
LOC101927647	1.07	0.1604138
AMMECR1	1.16	0.1604249
TRIOBP	-0.955	0.1604519
C20ORF141	0.956	0.160477
HNRNPLL	0.968	0.1604923
CLOCK	0.866	0.1605168
ACER1	1.81	0.1605195
SLC45A2	2.58	0.1605326
TOX3	-0.795	0.1605444
C1QTNF9B-AS1	-1.97	0.1605523
LDB3	-1.86	0.1605577
NEDD4L	0.968	0.1605984
CES5A	2.63	0.1605998
CEP250	2.11	0.1606034
ASH2L	-0.804	0.1606296
STX3	0.797	0.1606735
CYP4V2	-0.9	0.1606949
PPP4R1L	0.813	0.1607223
TAB3	-0.863	0.1608404
GSDMC	-0.832	0.1608738
CAPZA3	2.8	0.1608876
ACVR1	-0.801	0.160977
GIMAP1	-1.06	0.1610154
ZKSCAN4	-0.843	0.1610549
DNAI1	1.2	0.1611742
U2SURP	0.916	0.1612176
KLHL13	-0.796	0.1612901
GCG	2.28	0.161316
ZMIZ1	-1.52	0.1614034
ENTPD6	-2.33	0.1614196
TTLL3	-1.46	0.161491
RPA3	-0.85	0.1615195
MAN2A2	-0.807	0.161547
NFYC	-1.38	0.1616006
UNC13D	0.958	0.1616578
CRHR2	-0.907	0.1616615
SNX22	1.14	0.1616829
PCCA	0.795	0.1617216
PPP1R14D	0.941	0.1617346
TCP10L	0.947	0.1617462
KIF5A	1.07	0.1617559
TRMO	-0.934	0.1617944
OR5H1	1.65	0.1618258
ACSS1	-1.23	0.1618519
TARS	0.814	0.1619392
TRMT1L	0.838	0.1619684
SLC25A27	2.12	0.1620676
ACTR3B	0.884	0.1620773
RSAD1	0.842	0.1620989
EXOC6	-0.877	0.1621199
LOC339988	0.876	0.1621827
BUB1B	-1.61	0.1622482
MSL1	0.868	0.1622915
GAB4	1.51	0.1623176
LIPF	2.35	0.1623275
SSR4P1	-0.898	0.1623725
MYLK2	-2.38	0.1624034
PKP1	0.916	0.1624128
GFER	-1.06	0.1624394
LOC101927206	1.67	0.1624527
HHCM	-1.27	0.1624698
NRTN	3.18	0.1625228
RHBG	1.19	0.1625322
RAB3B	1.12	0.1625328
KIT	1.52	0.1625344
ATP5J2	1.28	0.162572
MBNL1	-1.22	0.1626102
SEMA3G	-1.54	0.1626507
CFHR5	0.781	0.1626799
BIN3-IT1	1.45	0.1628339
DOK2	-1.26	0.1628403
STYXL1	-0.92	0.1628447
APCDD1	-0.89	0.1628918
BHLHE40	1.01	0.1629062
LOC283788	-1.13	0.1629282
HNRNPH3	0.825	0.1629478
KIAA1211	0.787	0.1629537
MIA2	0.924	0.1629693
BRPF3	-0.97	0.1630397
ZNF7	0.926	0.1630689
FOXN1	1.24	0.1631617
NOC3L	-0.987	0.1631683
RFPL3	0.864	0.163181
KRT33A	1.32	0.1631879
NOL7	0.826	0.1631978
BTG3	1.69	0.1632137
TUNAR	0.999	0.1632634
NDST4	2.63	0.1633037
EXTL3	0.94	0.1633439
GDF5	1.84	0.1633824
PDXDC1	-0.829	0.16342
BCRP3	-2.46	0.1634892
COL23A1	1.11	0.1635381
NTF3	2.34	0.1635539
TMEM119	-1.15	0.163565
SMG7	-1.1	0.1635852
GPR135	1.93	0.163596
TFR2	0.866	0.163754
MROH1	-2.34	0.1638852
PRCP	1.04	0.1640655
PPM1A	0.862	0.1641089
UBBP1	-0.936	0.1641151
PDLIM7	1.48	0.1641392
SCAI	0.987	0.1641392
METTL6	1.04	0.1641594
SP4	1.48	0.1642366
PTBP3	-0.963	0.1642794
LANCL3	1.06	0.1643721
ELK1	-0.825	0.1643732
SIX3	1.83	0.1644048
ADGRG6	-2.32	0.1644404
ENOX2	0.841	0.1644469
HNF1A	1.87	0.1644677
C1ORF101	-1.79	0.1644968
THNSL1	-1.24	0.1644988
XPR1	0.888	0.1646778
DRC7	-0.775	0.1647856
SPAG16	-1.78	0.1648446
FOXP4	-0.839	0.1648716
MIEF1	0.94	0.164891
APELA	1.48	0.1649446
CRH	0.861	0.1649792
LINC00408	-2.67	0.1649804
LOC100130417	-2.34	0.1649914
NEBL	1.04	0.1650241
PDS5A	0.8	0.1650854
RLN2	-2.63	0.165155
MATN1-AS1	1.14	0.1651636
FNDC4	0.84	0.1652163
SYT15	-1.1	0.1652264
S1PR4	1.09	0.1653446
ANKRD10	0.858	0.1653736
FGFBP3	-1.06	0.1653783
EPS15L1	1.21	0.1653968
CRIPT	0.855	0.1654057
TYMS	1.67	0.1654061
CERS5	-1.05	0.1654089
JPH2	1.3	0.1654522
AHSA2	0.861	0.1655443
G3BP1	-0.775	0.1655487
SRD5A1	1.17	0.1655638
DIO1	0.879	0.1656236
SUSD3	-1.7	0.165626
RUNX3	1.53	0.1656292
GPHN	-0.818	0.1656399
PLA2R1	0.827	0.1656656
INCENP	1.38	0.1657007
VAPA	1.28	0.1657088
TMED5	1.39	0.165771
EPN1	1.1	0.1657759
PNMA2	-1.76	0.1658212
CEP104	-0.824	0.1658259
VASH1	-2.94	0.1658308
ZBTB20	-1.77	0.1658384
GNRH1	1.38	0.1659392
PGLS	-0.786	0.1659723
ERICH6	3.01	0.1659797
TECRL	-2.78	0.1660037
YPEL1	-1.1	0.1660377
LYPD1	-0.838	0.1660514
OXER1	0.87	0.1661068
FAM124B	-0.89	0.1661621
GUCY1B3	0.807	0.1662353
BHLHE22	1.76	0.1662688
CYTH3	1.27	0.1663364
PLPP1	-0.805	0.1663442
PLEKHG2	-1.1	0.1663836
PRDM10	1.78	0.1663972
COX8C	2.39	0.1664044
NUTM2B-AS1	0.803	0.166421
TAOK2	0.978	0.1665258
CKM	2.13	0.1665323
LOC100506725	-1.88	0.1665806
LINC00884	2.82	0.1666715
ACSM2A	-1.53	0.166703
C18ORF54	0.782	0.1667336
MRE11A	-0.915	0.1667559
FAM134A	0.777	0.1667829
CEP44	1.09	0.1667936
LINC00301	1.64	0.1669358
ZC3H15	-2.84	0.1669519
MUC6	1.13	0.1669965
MKI67	-2.79	0.1670372
CD99L2	2.14	0.1670904
LOC100652999	0.786	0.1671278
ALDH4A1	-1.26	0.1671729
LOC101060553	-1.47	0.1671733
INPP4A	0.853	0.1672824
SET	0.864	0.1673048
ZFAT	0.815	0.1673107
DENND2C	1.65	0.1673111
MORC2-AS1	-0.844	0.1674207
HADHAP1	-1.28	0.1674217
CLASP1	-0.896	0.1674536
C11ORF21	-1.88	0.167599
CMAHP	-0.849	0.1676214
MS4A3	1.56	0.1676223
ARHGDIA	-1.03	0.1677759
MTHFD1	1.03	0.1677785
ILDR1	1.41	0.167795
LOC283861	-0.983	0.1678574
GRK6	-1.69	0.1678613
RHO	-1.85	0.167883
FGF16	1.47	0.1679131
CARD11	1.63	0.1679351
ZNF197	-0.773	0.16797
CNTNAP5	0.84	0.1679861
STARD13-AS	2.47	0.1680243
SALL3	-2.15	0.1680528
HBP1	0.802	0.1681377
RRAS	-1.42	0.1682241
RPP25	0.82	0.1682653
OSBPL1A	1.69	0.1683101
CACYBP	0.926	0.1683988
CABP1	1.14	0.1684096
C5ORF63	-1.71	0.168412
LMTK2	2.81	0.1684264
LINC00269	1.62	0.168445
LINC00304	2.14	0.1684651
ATG5	0.96	0.1685945
KCNE4	0.935	0.168596
LOC101928833	1.21	0.1686318
LEO1	0.797	0.1686637
OR2J2	1.05	0.1687741
ABCD3	-0.811	0.1687843
KIAA1841	1.45	0.1687944
COL4A1	-1.56	0.168812
PPIC	-0.868	0.1688465
LOC102723645	1.49	0.1688733
HECW1	1.07	0.1688782
STX18-AS1	-2.94	0.1688861
LRRC45	1.6	0.1688913
RMST	0.978	0.1689027
SLCO1A2	-0.848	0.1689207
WDR35	-1.31	0.1689524
TMEM110	-0.927	0.1690122
CNTLN	-2.13	0.1690219
DNAJA4	0.765	0.1690473
BRCA2	-2.7	0.1691787
MAGED2	-0.845	0.169212
EYA3	1.21	0.1692693
ST6GALNAC1	-0.795	0.1692912
DGKB	1.08	0.1693059
GOLIM4	1.18	0.1693734
PDE1A	1.03	0.1694281
LOC100506082	1.63	0.1694641
EHD2	-2.44	0.1695887
DNAJC30	-0.888	0.1696063
DIO2	1.1	0.1696224
IL6ST	-0.796	0.1696355
NAMPT	0.879	0.1696443
RNF40	0.945	0.169706
LOC105378828	-0.858	0.1697393
DPY19L2P2	1.26	0.1698172
CSNK1A1	0.88	0.1698748
LINC00173	1.3	0.1698864
CD34	-0.94	0.1698937
PATJ	0.787	0.1699145
LOC283588	1.28	0.169943
HOXA1	1.05	0.17002
CSNK1E	-0.987	0.1700249
TNNI3	-1.8	0.1700464
SQLE	0.894	0.1700751
C1ORF53	1.65	0.1701051
BRCA1	-0.885	0.1701193
DPYSL3	-0.908	0.1701333
TNMD	-2.07	0.1701509
KCNJ13	0.915	0.1701664
HPSE	1.24	0.1701738
C16ORF45	-0.849	0.1702216
IDH3B	0.94	0.170277
TBL1X	-0.796	0.170282
TMEM135	-0.847	0.170318
BBS7	-0.87	0.1703417
KCNJ6	-1.79	0.1703543
IPO9	-1.19	0.1703862
PROSC	1.65	0.1705131
PITPNM3	1.1	0.1705424
MAD2L1	-1.3	0.1705503
SCN1B	1.06	0.1705516
PTGER4	-1.02	0.1705797
LINC01550	-1.85	0.1706642
ABCB11	-1.42	0.1706773
GRIK1-AS2	-2.12	0.1706793
COQ9	0.993	0.1706846
HIC1	2.38	0.1706912
SKIV2L2	2.76	0.1707069
MEF2D	0.827	0.1707176
C9ORF116	1.07	0.1708068
PRR9	2.29	0.1708482
WNT10B	1.06	0.1709116
ZNF844	-1.05	0.1709273
BCCIP	-0.816	0.170937
CAPZA1	-3.03	0.1709422
LOC100506538	-1.07	0.170947
RBL1	2.56	0.1709503
SLCO1B3	1.42	0.1709997
PARD3-AS1	2.03	0.1710715
MAB21L2	0.785	0.1711604
FUT1	0.836	0.1712872
HNRNPH1	-0.834	0.1713693
NDOR1	1.46	0.1714301
MYH6	-2.33	0.1714453
DOCK9-AS2	0.897	0.1714565
MDM2	-1.37	0.1714613
LOC286178	1.69	0.1715517
GCH1	-0.769	0.171553
ZBTB43	0.844	0.1715973
ZER1	2.75	0.1716408
FAM71D	0.933	0.1716411
TOPBP1	0.784	0.1716574
TCP11L2	-1.15	0.1716655
RSPO1	2.35	0.1716881
ZNF709	1.21	0.1717215
KMT2E-AS1	2.14	0.1717547
MEGF11	2.32	0.1717599
PLEKHG5	1.44	0.1717844
PLEKHA7	-1.38	0.171805
HSPA1L	0.793	0.1718102
MACC1	-2.16	0.171851
MAPKBP1	0.814	0.1718631
OTC	-0.78	0.171887
CNTNAP2	0.778	0.1718908
USPL1	0.829	0.1719567
MAPK6	-1.12	0.1719801
SLC16A10	1.28	0.1719863
POLR3B	0.839	0.1719985
SLC15A3	-1.65	0.1720395
SMG7-AS1	2.07	0.1720853
LOC101927038	1.47	0.1721066
THOC2	-1.04	0.1721218
LOC102723479	1.61	0.1722366
STRN	1.06	0.1722373
PPWD1	-1.04	0.1722395
SMAD5	-0.994	0.1723039
EFCAB11	0.774	0.1723447
CSRNP3	0.866	0.1723534
PARD3	-0.932	0.1724033
COL22A1	0.758	0.1725351
SNAPC3	-0.902	0.172571
LOC101929109	2.39	0.1725718
POU5F1P3	0.807	0.1725727
RAB1A	-1.3	0.1726087
MRPS10	-0.761	0.1726181
EPM2A	0.804	0.1726186
ARL4D	0.844	0.172697
FGF20	-1.02	0.172732
MLEC	-0.906	0.1727686
PURG	1.13	0.1728268
SNCG	-1.84	0.1728298
DTX4	-1.09	0.1728522
PLPP2	1.04	0.1728597
ANO3	1.48	0.1728791
ARHGAP33	0.991	0.172895
SLC20A2	0.803	0.1729039
ERVFH21-1	-2.89	0.1729849
ENAH	0.779	0.1729903
ZDHHC19	1.22	0.173032
LOC401052	-0.978	0.1730385
SPATS2L	-1.84	0.1730407
CES4A	-1.49	0.1730461
NOL10	-1.45	0.1730612
SGPL1	1.66	0.1731282
CA9	0.782	0.1731337
LOC103344931	-0.97	0.173192
ZNF182	0.819	0.1732962
HOXB6	2.07	0.1733519
KIAA0485	1.06	0.1734136
HOTAIRM1	-0.975	0.1734794
SERPINB7	-1.18	0.1734812
APOB	-3.21	0.1735706
C9ORF66	1.69	0.1735928
FARP2	-0.773	0.1735969
NR2C2	1.13	0.1736409
SPP1	0.881	0.1736707
LOC100506289	1.87	0.1736848
ZMYND11	-1.14	0.1737101
MYO5A	0.789	0.1737335
DCP1A	0.751	0.1737508
