gene	log2fc	pval
CA8	-3.89	0.0028395
P2RX1	3.16	0.0028395
RAB3IP	4.78	0.00285
PARP11	-3.61	0.0028512
LINC01111	3.39	0.0028684
BAIAP2L2	3.08	0.0028757
NCAPH2	2.92	0.0028777
VGLL1	3.34	0.0028849
CRAT37	3.67	0.0029019
FCRL4	3.77	0.0029214
GPR17	3.28	0.0029217
WDR64	3.69	0.0029391
DGCR2	3.71	0.0029478
LOC100507221	-3.53	0.0029617
LINC00824	5.08	0.0029632
LOC100996756	2.88	0.0029719
PAPOLG	4.45	0.0029868
CTD-2297D10.2	3.48	0.0029944
NR4A1	3.16	0.0030002
HLA-DOA	3.0	0.0030631
ZNF24	4.6	0.0030668
ACTL7A	-3.05	0.0030967
CHRD	4.0	0.0031046
LOC105379178	-3.12	0.0031256
NF2	-3.17	0.0031475
UBR2	4.53	0.0031509
GRID1	3.55	0.0031736
ZSCAN30	3.72	0.0031774
KCNJ11	2.99	0.0031854
TWIST2	3.33	0.0031902
FLJ37786	-3.72	0.0031939
SLC9A7	2.89	0.0032128
USP42	4.32	0.0032253
PPIL2	3.08	0.0032281
MAU2	3.72	0.0032285
LOC286071	-3.93	0.0032309
FREM3	3.94	0.0032438
SLC12A4	4.29	0.0032634
KHDC1L	-3.1	0.0032751
BMP6	-2.86	0.0032778
LHFPL3-AS1	2.95	0.0032838
LOC55338	3.23	0.0032869
MEDAG	3.03	0.0033357
MIPOL1	2.82	0.003341
IGLC1	3.21	0.0033555
ENG	-2.97	0.0033688
CSF2	3.17	0.0033696
EPN3	3.47	0.0033712
CDK6	3.21	0.003404
ITGA9	4.23	0.0034163
LY9	3.09	0.0034529
SSX1	3.65	0.0034655
ABCC11	3.49	0.0034685
KRT17P5	2.95	0.0034794
CMKLR1	-3.03	0.0034806
FCN2	2.89	0.003484
ROPN1L	2.78	0.0034843
G6PC	3.5	0.0034852
BMP10	3.4	0.0035067
VMO1	-3.35	0.0035082
CEACAM6	3.79	0.0035193
FLJ31713	3.1	0.0035254
OR7C1	3.73	0.0035254
SLAMF9	2.95	0.0035381
GLRA1	3.59	0.0035648
GBA3	3.3	0.0035687
DGCR14	3.23	0.0035711
TDH	-4.79	0.0035848
FGF7	5.29	0.0036299
IKBKAP	2.85	0.0036921
NPBWR2	2.76	0.0037737
ANTXR2	3.42	0.00378
AFDN	3.04	0.0038198
LOC643733	3.4	0.0038327
SIM2	3.22	0.0038477
TICRR	3.21	0.0038718
PSG4	2.96	0.0038871
NR4A3	4.39	0.003933
RGS3	3.04	0.0039332
BAZ2A	3.22	0.0039603
EDN1	-2.96	0.0039657
ISYNA1	-2.74	0.0039663
CD80	3.24	0.0039788
MB21D1	2.7	0.0039824
CARNMT1	2.9	0.0040004
RIPPLY1	2.75	0.0040255
LOC283387	3.09	0.0040614
KLC4	3.09	0.0040792
LOC285095	3.49	0.0041169
OSTM1-AS1	4.01	0.0041356
LINC00555	2.75	0.0041479
MST1L	3.23	0.0041507
FOXP2	2.66	0.0041678
CBX2	3.1	0.0041687
VSIG2	3.19	0.0041886
ADAMTS19	-2.67	0.0042077
MAPK4	-2.9	0.0042165
THAP3	2.75	0.0042254
NGFR	4.15	0.0042295
WEE1	-2.88	0.0042317
ZNF462	-2.88	0.0042341
C1ORF228	2.83	0.0042423
LINC00052	3.1	0.0042494
LINC00612	3.1	0.0042595
ADAMTS10	-3.11	0.0042607
LOC101927543	2.61	0.0042651
THBD	-2.78	0.0043101
LOC101927151	2.78	0.0043173
PREX2	3.15	0.0043292
LIMD2	-2.59	0.0043316
