gene,uniprot,ratio_PD_vs_control,significant,log2fc
ARHGEF2,Q92974,1.0,False,0.0
ARHGEF7,Q14155,0.98,False,-0.0291
ARL2,P36404,1.0,False,0.0
ARL3,P36405,1.1,True,0.1375
ARL6IP5,O75915,0.95,False,-0.074
ARL8A,Q96BM9,1.03,False,0.0426
ARL8B,Q9NVJ2,1.2,False,0.263
ARMC10,Q8N2F6,0.93,False,-0.1047
ARMCX3,Q9UH62,1.03,False,0.0426
ARPC1A,Q92747,1.05,False,0.0704
ARPC2,O15144,1.03,False,0.0426
ARPC3,O15145,1.05,False,0.0704
ARPC4,P59998,1.01,False,0.0144
ARPC5L,Q9BPX5,0.98,False,-0.0291
ARPP21,Q9UBL0,1.05,False,0.0704
ARRB1,P49407,0.95,False,-0.074
ARSA,P15289,0.82,True,-0.2863
ASAH1,Q13510,0.94,False,-0.0893
ASNA1,O43681,0.98,False,-0.0291
ASPA,P45381,1.53,False,0.6135
ASRGL1,Q7L266,1.15,False,0.2016
ASS1,P00966,1.53,True,0.6135
ATAD1,Q8NBU5,0.86,True,-0.2176
ATAD3A,Q9NVI7,0.92,False,-0.1203
ATCAY,Q86WG3,1.05,False,0.0704
ATG3,Q9NT62,1.06,False,0.0841
ATIC,P31939,1.02,False,0.0286
ATL1,Q8WXF7,0.94,False,-0.0893
ATL2,Q8NHH9,1.23,False,0.2987
ATP1A1,P05023,0.93,False,-0.1047
ATP1A2,P50993,0.91,False,-0.1361
ATP1A3,P13637,0.96,False,-0.0589
ATP1B1,P05026,0.95,False,-0.074
ATP1B2,P14415,0.92,False,-0.1203
ATP2A2,P16615,0.96,False,-0.0589
ATP2B1,P20020,0.89,False,-0.1681
ATP2B2,Q01814,1.0,False,0.0
ATP2B3,Q16720,0.98,False,-0.0291
ATP2B4,P23634,1.0,False,0.0
ATP5A1,P25705,0.98,False,-0.0291
ATP5B,P06576,0.97,False,-0.0439
ATP5C1,P36542,0.98,False,-0.0291
ATP5F1,P24539,0.93,False,-0.1047
ATP5H,O75947,0.94,False,-0.0893
ATP5I,P56385,0.92,False,-0.1203
ATP5J,P18859,0.97,False,-0.0439
ATP5J2,P56134,0.93,False,-0.1047
ATP5L,O75964,0.95,False,-0.074
ATP5O,P48047,0.94,False,-0.0893
ATP6AP1,Q15904,0.85,True,-0.2345
ATP6V0A1,Q93050,0.87,True,-0.2009
ATP6V0D1,P61421,0.9,False,-0.152
ATP6V1A,P38606,0.98,False,-0.0291
ATP6V1B2,P21281,0.98,False,-0.0291
ATP6V1C1,P21283,0.95,False,-0.074
ATP6V1D,Q9Y5K8,1.0,False,0.0
ATP6V1E1,P36543,0.96,False,-0.0589
ATP6V1F,Q16864,0.95,False,-0.074
ATP6V1G1,O75348,1.0,False,0.0
ATP6V1G2,O95670,1.08,False,0.111
ATP6V1H,Q9UI12,0.97,False,-0.0439
ATP8A1,Q9Y2Q0,0.93,False,-0.1047
ATP9A,O75110,0.97,False,-0.0439
ATPIF1,Q9UII2,0.92,False,-0.1203
AUH,Q13825,0.97,False,-0.0439
BAG3,O95817,1.23,True,0.2987
BAG6,P46379,0.9,False,-0.152
BAIAP2,Q9UQB8,1.05,False,0.0704
BASP1,P80723,0.95,False,-0.074
BCAN,Q96GW7,1.01,False,0.0144
BCAP31,P51572,0.9,True,-0.152
BCAS1,O75363,0.98,False,-0.0291
BCAS3,Q9H6U6,0.91,False,-0.1361
BCAT1,P54687,0.79,True,-0.3401
BCL2L13,Q9BXK5,0.97,False,-0.0439
BCR,P11274,0.93,False,-0.1047
BCS1L,Q9Y276,0.97,False,-0.0439
BDH1,Q02338,0.98,False,-0.0291
BDH2,Q9BUT1,1.03,False,0.0426
BIN1,O00499,1.02,False,0.0286
BLVRA,P53004,0.99,False,-0.0145
BLVRB,P30043,1.04,False,0.0566
BPNT1,O95861,1.11,False,0.1506
BRAF,P15056,1.0,False,0.0
BRK1,Q8WUW1,0.95,False,-0.074
BRP44,O95563,0.95,False,-0.074
BSCL2,Q96G97,0.67,True,-0.5778
BSG,P35613,1.01,False,0.0144
BSN,Q9UPA5,0.91,False,-0.1361
BZW1,Q7L1Q6,0.9,False,-0.152
C11ORF54,Q9H0W9,1.15,False,0.2016
C11ORF68,Q9H3H3,1.01,False,0.0144
C12ORF51,Q9Y4D8,0.92,False,-0.1203
C14ORF159,Q7Z3D6,0.92,False,-0.1203
C14ORF166,Q9Y224,1.03,False,0.0426
C1ORF95,Q69YW2,1.07,False,0.0976
C20ORF27,Q9GZN8,1.03,False,0.0426
C21ORF33,P30042,0.92,False,-0.1203
C22ORF28,Q9Y3I0,1.0,False,0.0
C2CD2L,O14523,0.94,False,-0.0893
C3,P01024,0.85,False,-0.2345
C4A,P0C0L4,0.82,False,-0.2863
C6ORF174,Q5TF21,0.9,True,-0.152
C6ORF211,Q9H993,0.97,False,-0.0439
C9ORF64,Q5T6V5,1.1,False,0.1375
CA1,P00915,0.9,False,-0.152
CA2,P00918,1.19,False,0.251
CAB39,Q9Y376,0.92,False,-0.1203
CAB39L,Q9H9S4,0.96,False,-0.0589
CACNA2D1,P54289,1.03,False,0.0426
CACNA2D2,Q9NY47,0.85,True,-0.2345
CACNA2D3,Q8IZS8,0.97,False,-0.0439
CACNB4,O00305,0.97,False,-0.0439
CACYBP,Q9HB71,0.89,False,-0.1681
CADM1,Q9BY67,0.97,False,-0.0439
CADM2,Q8N3J6,0.95,False,-0.074
CADM3,Q8N126,1.04,False,0.0566
CADM4,Q8NFZ8,1.1,False,0.1375
CADPS,Q9ULU8,0.82,True,-0.2863
CALB1,P05937,0.95,False,-0.074
CALB2,P22676,1.05,False,0.0704
CALM1,P62158,0.91,False,-0.1361
CALR,P27797,0.97,False,-0.0439
CAMK1,Q14012,0.97,False,-0.0439
CAMK1D,Q8IU85,1.05,False,0.0704
CAMK2A,Q9UQM7,0.96,False,-0.0589
CAMK2B,Q13554,1.02,False,0.0286
CAMK2D,Q13557,1.0,False,0.0
CAMK2G,Q13555,1.06,False,0.0841
CAMK4,Q16566,1.05,False,0.0704
CAMKK1,Q8N5S9,0.95,False,-0.074
CAND1,Q86VP6,1.02,False,0.0286
CANX,P27824,0.91,False,-0.1361
CAP1,Q01518,1.03,False,0.0426
CAP2,P40123,0.99,False,-0.0145
CAPG,P40121,1.04,False,0.0566
CAPN1,P07384,1.09,False,0.1243
CAPN2,P17655,1.08,False,0.111
CAPNS1,P04632,1.1,False,0.1375
CAPZA1,P52907,0.95,False,-0.074
CAPZA2,P47755,1.01,False,0.0144
CAPZB,P47756,0.98,False,-0.0291
CARHSP1,Q9Y2V2,1.02,False,0.0286
CARKD,Q8IW45,1.09,False,0.1243
CARNS1,A5YM72,0.98,False,-0.0291
CARS,P49589,1.01,False,0.0144
CASK,O14936,1.09,False,0.1243
CASKIN1,Q8WXD9,0.95,False,-0.074
CAT,P04040,1.03,False,0.0426
CBR1,P16152,1.14,False,0.189
CBR3,O75828,0.97,False,-0.0439
CCBL2,Q6YP21,0.83,False,-0.2688
CCDC127,Q96BQ5,1.09,False,0.1243
CCDC22,O60826,1.09,False,0.1243
CCDC6,Q16204,0.91,False,-0.1361
CCNY,Q8ND76,0.97,False,-0.0439
CCT2,P78371,0.95,False,-0.074
CCT3,P49368,0.96,False,-0.0589
CCT4,P50991,0.96,False,-0.0589
CCT5,P48643,0.95,False,-0.074
CCT6A,P40227,0.97,False,-0.0439
CCT7,Q99832,0.96,False,-0.0589
CCT8,P50990,0.96,False,-0.0589
CD44,P16070,0.98,False,-0.0291
CD47,Q08722,0.92,False,-0.1203
CD59,P13987,1.07,False,0.0976
CD81,P60033,1.15,False,0.2016
CD9,P21926,1.37,False,0.4542
CD99,P14209,1.26,True,0.3334
CDC42,P60953,1.04,False,0.0566
CDC42EP4,Q9H3Q1,1.13,False,0.1763
CDK18,Q07002,1.09,False,0.1243
CDK5,Q00535,0.95,False,-0.074
CDS2,O95674,0.99,False,-0.0145
CEND1,Q8N111,0.96,False,-0.0589
CEP170,Q5SW79,1.01,False,0.0144
CFL1,P23528,1.11,True,0.1506
CFL2,Q9Y281,1.03,False,0.0426
CHCHD3,Q9NX63,0.96,False,-0.0589
CHCHD6,Q9BRQ6,0.89,False,-0.1681
CHDH,Q8NE62,0.95,False,-0.074
CHGB,P05060,0.97,False,-0.0439
CHL1,O00533,1.1,False,0.1375
CISD1,Q9NZ45,1.04,False,0.0566
CKAP5,Q14008,1.02,False,0.0286
CKB,P12277,1.0,False,0.0
CKMT1A,P12532,0.96,False,-0.0589
CLASP1,Q7Z460,0.87,True,-0.2009
CLASP2,O75122,1.01,False,0.0144
CLCN5,P51795,0.89,False,-0.1681
CLCN6,P51797,0.91,False,-0.1361
CLDN11,O75508,1.03,False,0.0426
CLIC4,Q9Y696,1.08,False,0.111
CLIP2,Q9UDT6,1.03,False,0.0426
CLTA,P09496,0.88,True,-0.1844
CLTB,P09497,0.92,False,-0.1203
CLTC,Q00610,0.93,False,-0.1047
CLU,P10909,0.92,False,-0.1203
CMBL,Q96DG6,1.13,True,0.1763
CMPK1,P30085,0.98,False,-0.0291
CNDP2,Q96KP4,1.17,True,0.2265
CNP,P09543,1.12,False,0.1635
CNTN1,Q12860,0.98,False,-0.0291
CNTNAP1,P78357,0.94,False,-0.0893
CNTNAP2,Q9UHC6,0.95,False,-0.074
COASY,Q13057,1.02,False,0.0286
COMT,P21964,1.06,False,0.0841
COPA,P53621,0.92,False,-0.1203
COPB1,P53618,0.9,False,-0.152
COPG1,Q9Y678,0.94,False,-0.0893
COPG2,Q9UBF2,0.9,False,-0.152
COPS2,P61201,1.0,False,0.0
COPS3,Q9UNS2,1.01,False,0.0144
COPS4,Q9BT78,0.97,False,-0.0439
COPS5,Q92905,0.97,False,-0.0439
COPS6,Q7L5N1,1.0,False,0.0
COQ6,Q9Y2Z9,1.04,False,0.0566
COQ9,O75208,0.99,False,-0.0145
CORO1A,P31146,1.0,False,0.0
CORO1C,Q9ULV4,1.09,False,0.1243
CORO2B,Q9UQ03,0.98,False,-0.0291
COTL1,Q14019,1.2,True,0.263
COX4I1,P13073,0.89,True,-0.1681
COX5A,P20674,0.89,True,-0.1681
COX5B,P10606,0.91,False,-0.1361
COX6B1,P14854,0.96,False,-0.0589
COX6C,P09669,0.86,True,-0.2176
COX7A2,P14406,0.94,False,-0.0893
COX7A2L,O14548,0.97,False,-0.0439
COX7C,P15954,0.87,True,-0.2009
CPE,P16870,0.99,False,-0.0145
CPLX1,O14810,0.87,False,-0.2009
CPLX2,Q6PUV4,1.02,False,0.0286
CPNE2,Q96FN4,1.03,False,0.0426
