gene,uniprot,ratio_PD_vs_control,significant,log2fc
GAS7,O60861,1.14,True,0.189
GBAS,O75323,0.97,False,-0.0439
GBE1,Q04446,0.79,True,-0.3401
GC,P02774,0.82,False,-0.2863
GCDH,Q92947,0.96,False,-0.0589
GCLC,P48506,1.08,False,0.111
GCSH,P23434,0.93,False,-0.1047
GDA,Q9Y2T3,0.94,False,-0.0893
GDAP1,Q8TB36,0.98,False,-0.0291
GDAP1L1,Q96MZ0,0.89,False,-0.1681
GDI1,P31150,0.98,False,-0.0291
GDI2,P50395,1.02,False,0.0286
GFAP,P14136,1.63,True,0.7049
GFM1,Q96RP9,0.81,True,-0.304
GGH,Q92820,0.64,True,-0.6439
GIT1,Q9Y2X7,1.0,False,0.0
GJA1,P17302,1.16,False,0.2141
GLIPR2,Q9H4G4,1.14,False,0.189
GLO1,Q04760,0.97,False,-0.0439
GLOD4,Q9HC38,1.08,False,0.111
GLRX,P35754,1.04,False,0.0566
GLRX3,O76003,0.97,False,-0.0439
GLRX5,Q86SX6,0.94,False,-0.0893
GLS,O94925,0.86,True,-0.2176
GLTP,Q9NZD2,1.07,False,0.0976
GLUD1,P00367,0.83,True,-0.2688
GLUL,P15104,0.91,False,-0.1361
GMDS,O60547,1.01,False,0.0144
GMFB,P60983,1.1,False,0.1375
GMPPA,Q96IJ6,1.13,False,0.1763
GMPR,P36959,1.27,True,0.3448
GMPR2,Q9P2T1,1.06,False,0.0841
GNA11,P29992,1.07,False,0.0976
GNA13,Q14344,1.16,False,0.2141
GNAI1,P63096,0.94,False,-0.0893
GNAI2,P04899,1.1,False,0.1375
GNAL,P38405,0.97,False,-0.0439
GNAO1,P09471,0.87,False,-0.2009
GNAQ,P50148,1.0,False,0.0
GNAS,P63092,1.02,False,0.0286
GNAZ,P19086,0.92,False,-0.1203
GNB1,P62873,0.92,False,-0.1203
GNB2,P62879,0.99,False,-0.0145
GNB2L1,P63244,0.89,False,-0.1681
GNB5,O14775,0.97,False,-0.0439
GNG12,Q9UBI6,1.16,True,0.2141
GNG7,O60262,0.96,False,-0.0589
GNL1,P36915,0.99,False,-0.0145
GNPDA1,P46926,1.05,False,0.0704
GOT1,P17174,0.98,False,-0.0291
GOT2,P00505,0.94,False,-0.0893
GPC1,P35052,0.96,False,-0.0589
GPD1,P21695,1.74,True,0.7991
GPD2,P43304,1.01,False,0.0144
GPHN,Q9NQX3,0.95,False,-0.074
GPI,P06744,0.97,False,-0.0439
GPM6A,P51674,0.96,False,-0.0589
GPM6B,Q13491,1.08,True,0.111
GPR158,Q5T848,1.04,False,0.0566
GPS1,Q13098,0.98,False,-0.0291
GPX1,P07203,1.0,False,0.0
GPX4,P36969,1.01,False,0.0144
GRB2,P62993,1.03,False,0.0426
GRHPR,Q9UBQ7,1.08,False,0.111
GRM2,Q14416,0.98,False,-0.0291
GRM3,Q14832,1.03,False,0.0426
GSK3A,P49840,1.04,False,0.0566
GSN,P06396,1.1,False,0.1375
GSPT2,Q8IYD1,1.11,False,0.1506
GSR,P00390,1.05,False,0.0704
GSS,P48637,1.02,False,0.0286
GSTK1,Q9Y2Q3,0.83,True,-0.2688
GSTM2,P28161,1.08,False,0.111
GSTM3,P21266,1.0,False,0.0
GSTM4,Q03013,1.38,False,0.4647
GSTO1,P78417,1.04,False,0.0566
GSTP1,P09211,1.25,True,0.3219
GSTT2,P0CG29,0.98,False,-0.0291
GTPBP1,O00178,0.96,False,-0.0589
GUCY1B3,Q02153,1.02,False,0.0286
GYG1,P46976,1.02,False,0.0286
H2AFJ,Q9BTM1,1.01,False,0.0144
H2AFX,P16104,1.13,False,0.1763
H2AFY,O75367,1.26,False,0.3334
H2AFZ,P0C0S5,1.14,False,0.189
H3F3A,P84243,1.26,False,0.3334
HADH,Q16836,1.04,False,0.0566
HADHA,P40939,1.05,False,0.0704
HADHB,P55084,1.05,False,0.0704
HAGH,Q16775,1.02,False,0.0286
HAPLN2,Q9GZV7,0.9,False,-0.152
HAPLN4,Q86UW8,0.83,True,-0.2688
HBA1,P69905,1.06,False,0.0841
HBB,P68871,1.07,False,0.0976
HBD,P02042,1.06,False,0.0841
HBG1,P69891,0.81,False,-0.304
HDHD2,Q9H0R4,1.11,False,0.1506
HDHD3,Q9BSH5,0.99,False,-0.0145
HEATR7A,Q8NDA8,0.95,False,-0.074
HEBP1,Q9NRV9,1.16,False,0.2141
HECW2,Q9P2P5,0.96,False,-0.0589
HEPACAM,Q14CZ8,1.35,True,0.433
HGS,O14964,1.06,False,0.0841
HIBADH,P31937,0.96,False,-0.0589
HIBCH,Q6NVY1,0.93,False,-0.1047
HINT1,P49773,1.05,False,0.0704
HINT2,Q9BX68,1.04,False,0.0566
HINT3,Q9NQE9,1.01,False,0.0144
HIST1H1C,P16403,1.16,False,0.2141
HIST1H1E,P10412,1.21,True,0.275
HIST1H2BJ,P06899,1.27,True,0.3448
HIST1H2BK,O60814,1.28,True,0.3561
HIST1H4A,P62805,1.18,False,0.2388
HK1,P19367,0.98,False,-0.0291
HMGB1,P09429,0.98,False,-0.0291
HMOX2,P30519,1.01,False,0.0144
HNRNPA1,P09651,1.0,False,0.0
HNRNPA2B1,P22626,1.17,False,0.2265
HNRNPA3,P51991,0.94,False,-0.0893
HNRNPC,P07910,1.01,False,0.0144
HNRNPD,Q14103,1.14,False,0.189
HNRNPF,P52597,1.09,False,0.1243
HNRNPH2,P55795,0.94,False,-0.0893
HNRNPK,P61978,1.04,False,0.0566
HNRNPM,P52272,1.03,False,0.0426
HNRNPU,Q00839,0.97,False,-0.0439
HNRPDL,O14979,1.16,False,0.2141
HP,P00738,0.74,False,-0.4344
HP1BP3,Q5SSJ5,1.4,False,0.4854
HPCA,P84074,0.94,False,-0.0893
HPCAL4,Q9UM19,1.02,False,0.0286
HPRT1,P00492,0.99,False,-0.0145
HPX,P02790,0.91,False,-0.1361
HRAS,P01112,0.95,False,-0.074
HRSP12,P52758,0.99,False,-0.0145
HSD17B10,Q99714,0.97,False,-0.0439
HSD17B12,Q53GQ0,0.96,False,-0.0589
HSD17B4,P51659,1.03,False,0.0426
HSDL1,Q3SXM5,0.92,False,-0.1203
HSDL2,Q6YN16,1.05,False,0.0704
HSP90AA1,P07900,0.91,False,-0.1361
HSP90AB1,P08238,0.92,False,-0.1203
HSP90B1,P14625,0.94,False,-0.0893
HSPA12A,O43301,0.88,True,-0.1844
HSPA12B,Q96MM6,1.08,False,0.111
HSPA1A,P08107,1.1,True,0.1375
HSPA2,P54652,1.23,True,0.2987
HSPA4,P34932,0.98,False,-0.0291
HSPA4L,O95757,0.92,False,-0.1203
HSPA5,P11021,0.96,False,-0.0589
HSPA8,P11142,0.98,False,-0.0291
HSPA9,P38646,0.95,False,-0.074
HSPB1,P04792,1.09,False,0.1243
HSPD1,P10809,0.98,False,-0.0291
HSPE1,P61604,1.01,False,0.0144
HSPG2,P98160,1.02,False,0.0286
HSPH1,Q92598,0.96,False,-0.0589
HTT,P42858,0.95,False,-0.074
HUWE1,Q7Z6Z7,0.92,False,-0.1203
HYOU1,Q9Y4L1,0.78,True,-0.3585
IAH1,Q2TAA2,0.95,False,-0.074
IARS,P41252,0.72,False,-0.4739
IARS2,Q9NSE4,0.95,False,-0.074
IDH1,O75874,1.07,False,0.0976
IDH2,P48735,0.92,False,-0.1203
IDH3A,P50213,1.0,False,0.0
IDH3B,O43837,0.97,False,-0.0439
IDH3G,P51553,0.97,False,-0.0439
IGHA1,P01876,1.0,False,0.0
IGHG1,P01857,0.49,False,-1.0291
IGHG2,P01859,1.06,False,0.0841
IGHG3,P01860,0.43,False,-1.2176
IGHG4,P01861,0.48,False,-1.0589
IGKC,P01834,0.72,False,-0.4739
IGLC2,P0CG05,0.96,False,-0.0589
IGSF8,Q969P0,0.98,False,-0.0291
ILF3,Q12906,0.99,False,-0.0145
ILVBL,A1L0T0,1.05,False,0.0704
IMMT,Q16891,0.92,False,-0.1203
IMPA1,P29218,1.01,False,0.0144
INA,Q16352,1.04,False,0.0566
INF2,Q27J81,0.95,False,-0.074
INPP1,P49441,1.03,False,0.0426
INPP5A,Q14642,0.94,False,-0.0893
IPO5,O00410,1.02,False,0.0286
IPO7,O95373,0.93,False,-0.1047
IQGAP1,P46940,1.17,True,0.2265
IQSEC1,Q6DN90,0.97,False,-0.0439
IRGQ,Q8WZA9,0.92,False,-0.1203
ISOC1,Q96CN7,1.11,False,0.1506
ISOC2,Q96AB3,1.03,False,0.0426
ITFG1,Q8TB96,0.94,False,-0.0893
ITGB1,P05556,1.25,True,0.3219
ITGB8,P26012,1.12,False,0.1635
ITPR1,Q14643,0.87,False,-0.2009
ITPR2,Q14571,1.0,False,0.0
IVD,P26440,0.94,False,-0.0893
KBTBD11,O94819,1.09,False,0.1243
KCMF1,Q9P0J7,0.95,False,-0.074
KCNA1,Q09470,1.0,False,0.0
KCNAB1,Q14722,1.13,False,0.1763
KCNAB2,Q13303,1.01,False,0.0144
KCNMA1,Q12791,1.01,False,0.0144
KCTD12,Q96CX2,1.14,False,0.189
KIAA0564,A3KMH1,0.98,False,-0.0291
KIAA1045,Q9UPV7,1.02,False,0.0286
KIF1A,Q12756,0.82,True,-0.2863
KIF21A,Q7Z4S6,0.92,False,-0.1203
KIF2A,O00139,1.02,False,0.0286
KIF5B,P33176,1.14,True,0.189
KIF5C,O60282,0.97,False,-0.0439
KLC1,Q07866,0.99,False,-0.0145
KLC2,Q9H0B6,1.07,False,0.0976
KPNA4,O00629,0.99,False,-0.0145
KPNB1,Q14974,0.99,False,-0.0145
KRT1,P04264,0.26,True,-1.9434
KTN1,Q86UP2,0.87,False,-0.2009
L1CAM,P32004,0.94,False,-0.0893
LACTB2,Q53H82,1.1,False,0.1375
LAMB2,P55268,0.99,False,-0.0145
LAMP1,P11279,1.16,True,0.2141
LAMP5,Q9UJQ1,0.92,False,-0.1203
LAMTOR1,Q6IAA8,1.12,False,0.1635
LAMTOR3,Q9UHA4,1.02,False,0.0286
LANCL1,O43813,1.0,False,0.0
LANCL2,Q9NS86,1.03,False,0.0426
LAP3,P28838,1.25,False,0.3219
LARS,Q9P2J5,0.79,False,-0.3401
LASP1,Q14847,1.19,False,0.251
LCHN,A4D1U4,0.99,False,-0.0145
LCP1,P13796,0.93,False,-0.1047
LDHA,P00338,0.97,False,-0.0439
LDHB,P07195,1.11,True,0.1506
LETM1,O95202,1.01,False,0.0144
LGALS1,P09382,1.06,False,0.0841
LGALS3,P17931,1.24,True,0.3103
LGALS3BP,Q08380,1.17,False,0.2265
LGALSL,Q3ZCW2,0.95,False,-0.074
LGI1,O95970,1.09,False,0.1243
LGI3,Q8N145,0.97,False,-0.0439
LHPP,Q9H008,1.02,False,0.0286
LIMS1,P48059,1.11,False,0.1506
LIN7A,O14910,1.0,False,0.0
LIPE,Q05469,0.99,False,-0.0145
LLGL1,Q15334,1.15,False,0.2016
LMNA,P02545,1.12,True,0.1635
LMNB2,Q03252,1.14,True,0.189
LONP1,P36776,0.94,False,-0.0893
LPHN1,O94910,0.94,False,-0.0893
LPHN3,Q9HAR2,0.98,False,-0.0291
LRP1,Q07954,0.92,False,-0.1203
LRPPRC,P42704,0.79,True,-0.3401
LRRC47,Q8N1G4,1.07,False,0.0976
LRRC59,Q96AG4,0.87,True,-0.2009
LRRC8A,Q8IWT6,0.95,False,-0.074
LSAMP,Q13449,1.03,False,0.0426
LSS,P48449,0.99,False,-0.0145
LTA4H,P09960,1.11,False,0.1506
LUC7L2,Q9Y383,0.99,False,-0.0145
LY6H,O94772,0.88,False,-0.1844
LYRM4,Q9HD34,0.94,False,-0.0893
MACF1,Q9UPN3,1.01,False,0.0144
MACROD2,A1Z1Q3,0.95,False,-0.074
MADD,Q8WXG6,0.89,False,-0.1681
MAG,P20916,1.03,False,0.0426
MAN2C1,Q9NTJ4,1.15,True,0.2016
MAOA,P21397,1.03,False,0.0426
MAOB,P27338,1.13,False,0.1763
MAP1A,P78559,0.94,False,-0.0893
MAP1B,P46821,1.0,False,0.0
MAP1S,Q66K74,0.86,False,-0.2176
MAP2,P11137,0.9,False,-0.152
MAP2K1,Q02750,1.05,False,0.0704
MAP2K4,P45985,0.99,False,-0.0145
MAP3K5,Q99683,0.93,False,-0.1047
MAP4,P27816,1.31,False,0.3896
MAP4K4,O95819,1.28,True,0.3561
MAP6,Q96JE9,0.99,False,-0.0145
MAPK1,P28482,1.05,False,0.0704
MAPK3,P27361,1.11,False,0.1506
MAPK8,P45983,0.89,False,-0.1681
MAPK8IP3,Q9UPT6,1.03,False,0.0426
MAPK9,P45984,0.91,False,-0.1361
MAPRE1,Q15691,1.03,False,0.0426
MAPRE2,Q15555,0.95,False,-0.074
MAPRE3,Q9UPY8,0.99,False,-0.0145
MAPT,P10636,1.04,False,0.0566
MARC2,Q969Z3,0.96,False,-0.0589
MARCKS,P29966,1.13,False,0.1763
MARCKSL1,P49006,1.04,False,0.0566
MARK1,Q9P0L2,0.93,False,-0.1047
MARS,P56192,0.83,True,-0.2688
MAT2A,P31153,1.09,False,0.1243
MAT2B,Q9NZL9,1.05,False,0.0704
MATR3,P43243,0.94,False,-0.0893
MBOAT7,Q96N66,0.99,False,-0.0145
MBP,P02686,1.09,False,0.1243
MCCC1,Q96RQ3,1.02,False,0.0286
MCCC2,Q9HCC0,1.02,False,0.0286
MCTS1,Q9ULC4,1.02,False,0.0286
MDH1,P40925,0.99,False,-0.0145
MDH2,P40926,0.95,False,-0.074
ME1,P48163,1.1,False,0.1375
ME2,P23368,0.93,False,-0.1047
ME3,Q16798,0.99,False,-0.0145
METAP2,P50579,0.93,False,-0.1047
METTL7A,Q9H8H3,1.17,False,0.2265
MFN2,O95140,0.9,True,-0.152
MGEA5,O60502,0.9,True,-0.152
MGLL,Q99685,0.93,False,-0.1047
MGST1,P10620,1.02,False,0.0286
MGST3,O14880,0.9,False,-0.152
MIF,P14174,0.97,False,-0.0439
MINK1,Q8N4C8,0.94,False,-0.0893
MMS19,Q96T76,0.98,False,-0.0291
MOG,Q16653,1.01,False,0.0144
MON2,Q7Z3U7,0.98,False,-0.0291
MPDU1,O75352,1.01,False,0.0144
MPI,P34949,1.1,False,0.1375
MPP2,Q14168,0.94,False,-0.0893
MPP6,Q9NZW5,1.01,False,0.0144
MPST,P25325,1.07,False,0.0976
MRPS22,P82650,0.87,True,-0.2009
MSN,P26038,1.19,True,0.251
MT1F,P04733,0.95,False,-0.074
MT2A,P02795,0.92,False,-0.1203
MT3,P25713,0.83,False,-0.2688
MTAP,Q13126,1.09,False,0.1243
MTCH1,Q9NZJ7,0.9,False,-0.152
MTCH2,Q9Y6C9,0.96,False,-0.0589
MT-CO2,P00403,0.93,False,-0.1047
MTHFD1,P11586,1.01,False,0.0144
MTM1,Q13496,0.97,False,-0.0439
MTMR2,Q13614,1.05,False,0.0704
MT-ND1,P03886,0.91,False,-0.1361
MTOR,P42345,0.98,False,-0.0291
MTSS1L,Q765P7,1.16,False,0.2141
MTX2,O75431,0.92,False,-0.1203
MTX3,Q5HYI7,0.98,False,-0.0291
MUT,P22033,1.04,False,0.0566
MVP,Q14764,0.99,False,-0.0145
MYADM,Q96S97,0.95,False,-0.074
MYH10,P35580,0.98,False,-0.0291
MYH11,P35749,0.95,False,-0.074
MYH14,Q7Z406,1.03,False,0.0426
MYH9,P35579,1.03,False,0.0426
MYL12A,P19105,0.98,False,-0.0291
MYL6,P60660,1.01,False,0.0144
MYLK,Q15746,1.02,False,0.0286
MYO1D,O94832,1.32,False,0.4005
MYO5A,Q9Y4I1,0.89,False,-0.1681
MYO6,Q9UM54,1.16,True,0.2141
NADKD1,Q4G0N4,1.08,False,0.111
NAE1,Q13564,0.98,False,-0.0291
NAGK,Q9UJ70,1.03,False,0.0426
NAMPT,P43490,1.01,False,0.0144
NAP1L1,P55209,1.05,False,0.0704
NAP1L4,Q99733,1.0,False,0.0
NAPA,P54920,0.95,False,-0.074
NAPB,Q9H115,0.91,False,-0.1361
NAPG,Q99747,1.04,False,0.0566
NARS,O43776,0.91,False,-0.1361
NCAM1,P13591,1.08,False,0.111
NCAM2,O15394,1.02,False,0.0286
NCAN,O14594,0.74,True,-0.4344
NCDN,Q9UBB6,0.95,False,-0.074
NCEH1,Q6PIU2,0.88,False,-0.1844
NCKAP1,Q9Y2A7,0.96,False,-0.0589
NCOA7,Q8NI08,0.95,False,-0.074
NDE1,Q9NXR1,1.04,False,0.0566
NDRG1,Q92597,1.11,False,0.1506
NDRG2,Q9UN36,1.02,False,0.0286
NDRG4,Q9ULP0,1.07,False,0.0976
NDUFA10,O95299,0.98,False,-0.0291
NDUFA11,Q86Y39,0.95,False,-0.074
NDUFA12,Q9UI09,0.97,False,-0.0439
NDUFA13,Q9P0J0,0.96,False,-0.0589
NDUFA2,O43678,1.04,False,0.0566
NDUFA4,O00483,0.88,True,-0.1844
NDUFA5,Q16718,0.96,False,-0.0589
NDUFA6,P56556,0.97,False,-0.0439
NDUFA7,O95182,0.96,False,-0.0589
NDUFA8,P51970,0.98,False,-0.0291
NDUFA9,Q16795,0.95,False,-0.074
NDUFAB1,O14561,0.92,False,-0.1203
NDUFAF2,Q8N183,0.87,False,-0.2009
NDUFB1,O75438,0.92,False,-0.1203
NDUFB10,O96000,0.94,False,-0.0893
NDUFB11,Q9NX14,0.95,False,-0.074
NDUFB4,O95168,0.93,False,-0.1047
NDUFB5,O43674,0.93,False,-0.1047
NDUFB8,O95169,0.95,False,-0.074
NDUFB9,Q9Y6M9,0.99,False,-0.0145
NDUFS1,P28331,0.94,False,-0.0893
NDUFS2,O75306,0.96,False,-0.0589
NDUFS3,O75489,0.96,False,-0.0589
NDUFS4,O43181,0.91,False,-0.1361
NDUFS5,O43920,0.9,False,-0.152
NDUFS6,O75380,0.93,False,-0.1047
NDUFS7,O75251,0.95,False,-0.074
NDUFS8,O00217,0.98,False,-0.0291
NDUFV1,P49821,0.97,False,-0.0439
NDUFV2,P19404,0.94,False,-0.0893
NEBL,O76041,1.86,True,0.8953
NECAB2,Q7Z6G3,1.02,False,0.0286
NEFH,P12036,1.0,False,0.0
NEFL,P07196,1.05,False,0.0704
NEFM,P07197,1.06,False,0.0841
NENF,Q9UMX5,1.14,False,0.189
NF1,P21359,0.9,True,-0.152
NFASC,O94856,1.01,False,0.0144
NFS1,Q9Y697,0.97,False,-0.0439
NIF3L1,Q9GZT8,0.99,False,-0.0145
NINJ2,Q9NZG7,1.1,False,0.1375
NIPSNAP1,Q9BPW8,0.91,False,-0.1361
NIPSNAP3A,Q9UFN0,0.85,False,-0.2345
NIT2,Q9NQR4,1.17,False,0.2265
NLRX1,Q86UT6,1.02,False,0.0286
NME1,P15531,1.11,False,0.1506
NME2,P22392,1.02,False,0.0286
NMT1,P30419,0.93,False,-0.1047
NNT,Q13423,0.95,False,-0.074
NOMO3,P69849,0.7,True,-0.5146
NPC2,P61916,1.19,False,0.251
NPDC1,Q9NQX5,1.0,False,0.0
NPEPPS,P55786,1.04,False,0.0566
NPM1,P06748,0.99,False,-0.0145
NPTN,Q9Y639,0.96,False,-0.0589
NRCAM,Q92823,1.16,True,0.2141
NRXN3,Q9Y4C0,1.03,False,0.0426
NSF,P46459,1.0,False,0.0
NSFL1C,Q9UNZ2,1.11,True,0.1506
NT5C2,P49902,1.14,False,0.189
NT5E,P21589,1.12,False,0.1635
NTM,Q9P121,1.0,False,0.0
NUDC,Q9Y266,0.98,False,-0.0291
NUDCD3,Q8IVD9,0.94,False,-0.0893
NUDT16,Q96DE0,1.06,False,0.0841
NUDT19,A8MXV4,0.88,False,-0.1844
NUDT3,O95989,1.01,False,0.0144
NUDT5,Q9UKK9,1.07,False,0.0976
NUMBL,Q9Y6R0,0.95,False,-0.074
OAT,P04181,0.91,True,-0.1361
OGDH,Q02218,0.91,True,-0.1361
OGDHL,Q9ULD0,0.87,True,-0.2009
OGT,O15294,0.96,False,-0.0589
OLA1,Q9NTK5,1.03,False,0.0426
OMG,P23515,1.04,False,0.0566
OPA1,O60313,0.99,False,-0.0145
OPA3,Q9H6K4,1.02,False,0.0286
OPALIN,Q96PE5,0.88,False,-0.1844
OPCML,Q14982,0.97,False,-0.0439
OPTN,Q96CV9,0.91,False,-0.1361
ORM1,P02763,0.61,False,-0.7131
OSBP,P22059,1.02,False,0.0286
OSBPL1A,Q9BXW6,0.99,False,-0.0145
OSBPL8,Q9BZF1,0.93,False,-0.1047
OSTF1,Q92882,1.05,False,0.0704
OTUB1,Q96FW1,0.95,False,-0.074
OXCT1,P55809,0.98,False,-0.0291
OXR1,Q8N573,1.0,False,0.0
OXSR1,O95747,1.08,False,0.111
,P04220,0.29,True,-1.7859
P4HB,P07237,0.97,False,-0.0439
PA2G4,Q9UQ80,0.92,False,-0.1203
PABPC1,P11940,0.99,False,-0.0145
PACS1,Q6VY07,0.99,False,-0.0145
PACS2,Q86VP3,1.01,False,0.0144
PACSIN1,Q9BY11,0.96,False,-0.0589
PACSIN2,Q9UNF0,0.98,False,-0.0291
PADI2,Q9Y2J8,1.16,False,0.2141
PAFAH1B1,P43034,1.04,False,0.0566
PAFAH1B3,Q15102,1.03,False,0.0426
PAICS,P22234,1.21,True,0.275
PAK1,Q13153,1.02,False,0.0286
PAK2,Q13177,1.07,False,0.0976
PALM,O75781,1.01,False,0.0144
PALM2,Q8IXS6,1.07,False,0.0976
PAM,P19021,0.87,False,-0.2009
PARF,Q3YEC7,0.93,False,-0.1047
PARK7,Q99497,1.07,False,0.0976
PARP1,P09874,1.07,False,0.0976
PARS2,Q7L3T8,0.9,False,-0.152
PBXIP1,Q96AQ6,1.15,True,0.2016
PC,P11498,0.94,False,-0.0893
PCBP1,Q15365,1.01,False,0.0144
PCBP2,Q15366,1.01,False,0.0144
PCCA,P05165,0.97,False,-0.0439
PCCB,P05166,0.97,False,-0.0439
PCLO,Q9Y6V0,0.93,False,-0.1047
PCMT1,P22061,0.99,False,-0.0145
PCP4,P48539,0.97,False,-0.0439
PCSK1N,Q9UHG2,0.98,False,-0.0291
PCSK2,P16519,1.0,False,0.0
PCYOX1,Q9UHG3,1.02,False,0.0286
PCYOX1L,Q8NBM8,0.78,True,-0.3585
PCYT2,Q99447,1.0,False,0.0
PDAP1,Q13442,0.85,True,-0.2345
PDCD5,O14737,1.05,False,0.0704
PDCD6,O75340,1.08,False,0.111
PDCD6IP,Q8WUM4,1.03,False,0.0426
PDE10A,Q9Y233,0.87,False,-0.2009
PDE1A,P54750,0.91,False,-0.1361
PDE1B,Q01064,1.0,False,0.0
PDE1C,Q14123,0.89,False,-0.1681
PDE2A,O00408,0.99,False,-0.0145
PDHA1,P08559,0.88,True,-0.1844
PDHB,P11177,0.89,False,-0.1681
PDHX,O00330,0.9,True,-0.152
PDIA3,P30101,0.96,False,-0.0589
PDIA4,P13667,0.91,False,-0.1361
PDIA6,Q15084,1.08,False,0.111
PDK3,Q15120,0.93,False,-0.1047
PDLIM5,Q96HC4,1.14,False,0.189
PDPR,Q8NCN5,0.99,False,-0.0145
PDXK,O00764,0.98,False,-0.0291
PDXP,Q96GD0,0.97,False,-0.0439
PDYN,P01213,0.92,False,-0.1203
PEA15,Q15121,1.09,False,0.1243
PEBP1,P30086,1.09,True,0.1243
PEPD,P12955,0.94,False,-0.0893
PEX11B,O96011,0.92,False,-0.1203
PEX19,P40855,0.98,False,-0.0291
PFDN2,Q9UHV9,1.0,False,0.0
PFDN5,Q99471,0.97,False,-0.0439
PFKFB2,O60825,1.16,True,0.2141
PFKL,P17858,1.04,False,0.0566
PFKM,P08237,0.99,False,-0.0145
PFKP,Q01813,1.08,False,0.111
PFN1,P07737,1.05,False,0.0704
PFN2,P35080,1.01,False,0.0144
PGAM1,P18669,1.07,False,0.0976
PGAM2,P15259,2.0,False,1.0
PGD,P52209,1.14,True,0.189
PGK1,P00558,0.99,False,-0.0145
PGLS,O95336,1.19,True,0.251
PGM1,P36871,1.06,False,0.0841
PGM2L1,Q6PCE3,0.88,False,-0.1844
PGM3,O95394,1.13,False,0.1763
PGP,A6NDG6,1.01,False,0.0144
PGRMC1,O00264,0.9,True,-0.152
PGRMC2,O15173,0.99,False,-0.0145
PHACTR1,Q9C0D0,1.01,False,0.0144
PHB,P35232,0.95,False,-0.074
PHB2,Q99623,0.98,False,-0.0291
PHGDH,O43175,1.27,False,0.3448
PHKB,Q93100,1.05,False,0.0704
PHPT1,Q9NRX4,1.24,True,0.3103
PHYHD1,Q5SRE7,1.15,False,0.2016
PHYHIP,Q92561,1.05,False,0.0704
PHYHIPL,Q96FC7,1.05,False,0.0704
PI16,Q6UXB8,1.22,True,0.2869
PI4KA,P42356,0.91,False,-0.1361
PICALM,Q13492,1.01,False,0.0144
PIGS,Q96S52,0.91,False,-0.1361
PIN1,Q13526,1.0,False,0.0
PIP4K2A,P48426,1.02,False,0.0286
PIP4K2B,P78356,1.02,False,0.0286
PIP5K1C,O60331,0.96,False,-0.0589
PITHD1,Q9GZP4,1.01,False,0.0144
PITPNA,Q00169,1.0,False,0.0
PITPNM1,O00562,1.02,False,0.0286
PITRM1,Q5JRX3,1.02,False,0.0286
PKM2,P14618,1.09,False,0.1243
PLBD2,Q8NHP8,0.85,True,-0.2345
PLCB1,Q9NQ66,0.95,False,-0.074
PLCD1,P51178,1.09,False,0.1243
PLCD3,Q8N3E9,1.15,False,0.2016
PLCL1,Q15111,1.01,False,0.0144
PLD3,Q8IV08,0.77,False,-0.3771
PLEC,Q15149,1.15,False,0.2016
PLEKHB1,Q9UF11,0.92,False,-0.1203
PLIN3,O60664,1.05,False,0.0704
PLLP,Q9Y342,1.11,False,0.1506
PLP1,P60201,1.02,False,0.0286
PLS3,P13797,1.04,False,0.0566
PLXNA1,Q9UIW2,0.94,False,-0.0893
PLXNA4,Q9HCM2,0.95,False,-0.074
PLXNB1,O43157,1.11,False,0.1506
PLXNB2,O15031,1.1,False,0.1375
PMP2,P02689,1.21,False,0.275
PMPCA,Q10713,0.85,False,-0.2345
PNP,P00491,1.11,False,0.1506
PNPO,Q9NVS9,1.0,False,0.0
PNPT1,Q8TCS8,0.97,False,-0.0439
PON2,Q15165,1.28,False,0.3561
POR,P16435,1.06,False,0.0841
PPA1,Q15181,1.01,False,0.0144
PPA2,Q9H2U2,1.06,False,0.0841
PPAP2B,O14495,1.07,False,0.0976
PPAT,Q06203,0.96,False,-0.0589
PPFIA3,O75145,0.99,False,-0.0145
PPIA,P62937,1.04,False,0.0566
PPIB,P23284,0.95,False,-0.074
PPM1A,P35813,1.04,False,0.0566
PPM1F,P49593,0.94,False,-0.0893
PPM1H,Q9ULR3,0.91,False,-0.1361
PPME1,Q9Y570,0.95,False,-0.074
PPOX,P50336,1.02,False,0.0286
PPP1CB,P62140,1.03,False,0.0426
PPP1CC,P36873,1.02,False,0.0286
PPP1R1B,Q9UD71,1.14,False,0.189
PPP1R21,Q6ZMI0,1.05,False,0.0704
PPP1R7,Q15435,0.97,False,-0.0439
PPP2CA,P67775,0.87,True,-0.2009
PPP2CB,P62714,1.03,False,0.0426
PPP2R1A,P30153,0.99,False,-0.0145
PPP2R2A,P63151,1.03,False,0.0426
PPP2R4,Q15257,1.01,False,0.0144
PPP2R5C,Q13362,0.87,False,-0.2009
PPP2R5D,Q14738,0.91,False,-0.1361
PPP2R5E,Q16537,0.87,False,-0.2009
PPP3CA,Q08209,1.03,False,0.0426
PPP3CB,P16298,0.98,False,-0.0291
PPP3R1,P63098,0.88,False,-0.1844
PPP5C,P53041,0.94,False,-0.0893
PPP6C,O00743,0.98,False,-0.0291
PPP6R2,O75170,0.92,False,-0.1203
PPT1,P50897,1.07,False,0.0976
PRAF2,O60831,0.92,False,-0.1203
PRCP,P42785,1.06,False,0.0841
PRDX1,Q06830,1.23,True,0.2987
PRDX2,P32119,1.03,False,0.0426
