ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
224588_at	0.538	0.0000357	1.89e+01	-0.19	1.07e+01	XIST	X inactive specific transcript (non-protein coding)
205000_at	0.538	0.0000579	-1.68e+01	-0.249	-8.81	DDX3Y	DEAD-box helicase 3, Y-linked
201909_at	0.538	0.0000666	-1.62e+01	-0.268	-7.62	RPS4Y1	ribosomal protein S4, Y-linked 1
204410_at	0.538	0.0001517	-1.32e+01	-0.408	-6.12	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
228492_at	0.538	0.0002367	-1.19e+01	-0.506	-5.82	USP9Y	ubiquitin specific peptidase 9, Y-linked
1561210_at	0.538	0.0002945	-1.12e+01	-0.561	-5.44	LOC101928539	uncharacterized LOC101928539
205001_s_at	0.538	0.0003064	-1.11e+01	-0.571	-5.69	DDX3Y	DEAD-box helicase 3, Y-linked
240509_s_at	0.538	0.0003105	-1.11e+01	-0.575	-5.58	GREM2	gremlin 2, DAN family BMP antagonist
232618_at	0.538	0.0003638	-1.07e+01	-0.618	-6.76	TXLNGY	taxilin gamma pseudogene, Y-linked
217470_at	0.538	0.0003914	-1.05e+01	-0.639	-4.91		
227349_at	0.538	0.0004075	-1.04e+01	-0.651	-5.15	HELLS	helicase, lymphoid-specific
214218_s_at	0.538	0.0004227	1.03e+01	-0.662	6.88	XIST	X inactive specific transcript (non-protein coding)
223646_s_at	0.538	0.0004282	-1.02e+01	-0.666	-7.29	TXLNGY	taxilin gamma pseudogene, Y-linked
1558247_s_at	0.538	0.0004345	-1.02e+01	-0.67	-4.96	NTN5	netrin 5
243126_x_at	0.538	0.0004626	-1.00e+01	-0.689	-4.59		
1560628_at	0.538	0.0004634	-1.00e+01	-0.689	-4.83	LOC105369167	uncharacterized LOC105369167
1554460_at	0.538	0.000468	-1.00e+01	-0.692	-5.05	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
207246_at	0.538	0.000473	-9.98	-0.696	-5.83	ZFY	zinc finger protein, Y-linked
1557465_at	0.538	0.0004993	-9.85	-0.713	-4.60	LINC00282	long intergenic non-protein coding RNA 282
235353_at	0.538	0.0005	-9.85	-0.713	-4.75	SEL1L3	SEL1L family member 3
209930_s_at	0.538	0.0005745	-9.51	-0.758	-4.45	NFE2	nuclear factor, erythroid 2
220897_at	0.538	0.0005781	-9.50	-0.76	-5.02		
239156_at	0.538	0.0005913	-9.44	-0.768	-5.23		
206624_at	0.538	0.0006001	-9.41	-0.773	-6.13	USP9Y	ubiquitin specific peptidase 9, Y-linked
234992_x_at	0.538	0.0006088	-9.37	-0.777	-4.48	ECT2	epithelial cell transforming 2
1566419_at	0.538	0.0006179	-9.34	-0.783	-4.68		
233907_s_at	0.538	0.0006225	-9.32	-0.785	-5.12	SERTAD4	SERTA domain containing 4
217268_at	0.538	0.0006345	-9.28	-0.792	-4.53	RAB7A	RAB7A, member RAS oncogene family
1556491_at	0.538	0.0006355	-9.27	-0.792	-4.55		
217305_s_at	0.538	0.0006497	-9.22	-0.8	-4.39	ADCY10	adenylate cyclase 10, soluble
1563135_at	0.538	0.0006541	-9.21	-0.802	-4.84	LOC101927616	uncharacterized LOC101927616
1562364_at	0.538	0.0006565	-9.20	-0.803	-4.38	GVINP1	GTPase, very large interferon inducible pseudogene 1
1555382_at	0.538	0.0006653	-9.17	-0.808	-4.64	POF1B	premature ovarian failure, 1B
207818_s_at	0.538	0.0006745	-9.14	-0.813	-4.66	HTR7	5-hydroxytryptamine receptor 7
207211_at	0.538	0.0006791	-9.12	-0.815	-4.48	USP2	ubiquitin specific peptidase 2
230173_at	0.538	0.0006795	-9.12	-0.815	-4.22	TRIM4	tripartite motif containing 4
1560284_at	0.538	0.0006901	-9.08	-0.821	-4.64		
240087_at	0.538	0.0006924	-9.08	-0.822	-4.37		
204727_at	0.538	0.0007028	-9.04	-0.827	-4.17	WDHD1	WD repeat and HMG-box DNA binding protein 1
1554686_at	0.538	0.0007242	-8.97	-0.838	-4.18	STAU2	staufen double-stranded RNA binding protein 2
237692_at	0.538	0.000734	-8.94	-0.843	-4.37		
210141_s_at	0.538	0.0007379	-8.93	-0.845	-5.06	INHA	inhibin alpha subunit
1562992_at	0.538	0.0007556	-8.88	-0.853	-5.74		
241330_x_at	0.538	0.0007586	-8.87	-0.855	-4.14		
240588_at	0.538	0.0007597	-8.87	-0.855	-4.17		
1559648_at	0.538	0.0007911	-8.78	-0.87	-5.09	LINC00892	long intergenic non-protein coding RNA 892
204420_at	0.538	0.0007967	-8.76	-0.873	-4.11	FOSL1	FOS like 1, AP-1 transcription factor subunit
206700_s_at	0.538	0.0008448	-8.63	-0.895	-4.76	KDM5D	lysine demethylase 5D
1557030_at	0.538	0.0008734	-8.56	-0.907	-4.11	GAB1	GRB2 associated binding protein 1
1559147_at	0.538	0.0008775	8.55	-0.909	3.96		
206962_x_at	0.538	0.0008841	-8.53	-0.912	-3.96		
242252_at	0.538	0.0009092	-8.47	-0.923	-5.91		
239759_at	0.538	0.0009249	-8.44	-0.929	-4.71		
243839_s_at	0.538	0.0009308	-8.42	-0.932	-4.47		
1559503_a_at	0.538	0.000933	-8.42	-0.933	-4.61	LOC441666	zinc finger protein 91 pseudogene
1553835_a_at	0.538	0.0009476	8.38	-0.939	4.46	COL6A5	collagen type VI alpha 5 chain
218925_s_at	0.538	0.0009549	-8.37	-0.942	-4.54	C11orf1	chromosome 11 open reading frame 1
239668_at	0.538	0.0009567	-8.36	-0.943	-5.15		
233704_at	0.538	0.0009653	-8.35	-0.946	-4.35		
239875_at	0.538	0.0009678	-8.34	-0.947	-4.20	NAB1	NGFI-A binding protein 1
220270_at	0.538	0.0009685	-8.34	-0.947	-4.86	RNF17	ring finger protein 17
234237_s_at	0.538	0.0009779	-8.32	-0.951	-4.87	AMBRA1	autophagy and beclin 1 regulator 1
1570080_at	0.538	0.0009857	-8.30	-0.954	-4.58	HIPK1-AS1	HIPK1 antisense RNA 1
219708_at	0.538	0.0010032	-8.26	-0.961	-4.08	NT5M	5',3'-nucleotidase, mitochondrial
238922_at	0.538	0.0010036	-8.26	-0.962	-4.04		
1570111_at	0.538	0.0010162	-8.24	-0.967	-3.79	LINC00521	long intergenic non-protein coding RNA 521
213537_at	0.538	0.0010296	-8.21	-0.972	-4.25	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
1558846_at	0.538	0.0010563	-8.16	-0.982	-4.53	PNLIPRP3	pancreatic lipase related protein 3
207639_at	0.538	0.0010629	-8.14	-0.985	-4.11	FZD9	frizzled class receptor 9
205048_s_at	0.538	0.0010874	8.10	-0.994	4.18	PSPH	phosphoserine phosphatase
217267_s_at	0.538	0.0010898	-8.09	-0.995	-4.12	RAB7A	RAB7A, member RAS oncogene family
1560758_at	0.538	0.0010934	-8.09	-0.996	-4.61		
220051_at	0.538	0.0011059	-8.06	-1.001	-4.25	PRSS21	protease, serine 21
1553857_at	0.538	0.0011093	-8.06	-1.002	-4.02	IGSF22	immunoglobulin superfamily member 22
205920_at	0.538	0.001124	-8.03	-1.008	-4.28	SLC6A6	solute carrier family 6 member 6
238141_s_at	0.538	0.0011247	-8.03	-1.008	-3.75	LOC100996246	uncharacterized LOC100996246
207706_at	0.538	0.0011401	-8.00	-1.014	-4.22	USH2A	usherin
1569331_at	0.538	0.0011436	-7.99	-1.015	-5.46	CNKSR3	CNKSR family member 3
1563052_at	0.538	0.0011472	-7.99	-1.016	-4.12		
231711_at	0.538	0.0011523	-7.98	-1.018	-4.13	ACPP	acid phosphatase, prostate
231160_at	0.538	0.0011533	-7.98	-1.018	-3.73		
204409_s_at	0.538	0.0011549	-7.97	-1.019	-4.88	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
205081_at	0.538	0.0011623	7.96	-1.022	4.42	CRIP1	cysteine rich protein 1
201789_at	0.538	0.0011657	-7.96	-1.023	-4.40	PCNX4	pecanex homolog 4 (Drosophila)
1568898_at	0.538	0.001167	-7.95	-1.023	-3.66	LOC101928140	uncharacterized LOC101928140
207750_at	0.538	0.0011904	-7.91	-1.032	-4.91		
1561021_at	0.538	0.0011914	-7.91	-1.032	-4.39	LOC105371307	uncharacterized LOC105371307
1562413_at	0.538	0.0011982	-7.90	-1.034	-3.71	LINC00167	long intergenic non-protein coding RNA 167
235184_at	0.538	0.0011993	-7.90	-1.035	-4.29	AEBP2	AE binding protein 2
233218_at	0.538	0.0012114	-7.88	-1.039	-4.45		
1554923_at	0.538	0.0012176	-7.87	-1.041	-3.83	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6
238398_s_at	0.538	0.0012194	7.86	-1.042	3.99		
239779_at	0.538	0.0012259	-7.85	-1.044	-3.76	LOC101930595///PGGHG	uncharacterized LOC101930595///protein-glucosylgalactosylhydroxylysine glucosidase
234673_at	0.538	0.0012333	-7.84	-1.047	-4.14	HHLA2	HERV-H LTR-associating 2
1555192_at	0.538	0.0012602	-7.80	-1.056	-4.17	ZNF277	zinc finger protein 277
230798_at	0.538	0.001262	-7.80	-1.056	-3.83		
211722_s_at	0.538	0.0012759	-7.77	-1.061	-4.23	HDAC6	histone deacetylase 6
244225_x_at	0.538	0.0012999	-7.74	-1.069	-3.65	LMNA	lamin A/C
237991_at	0.538	0.0013024	7.73	-1.07	4.20		
241357_at	0.538	0.0013138	-7.72	-1.074	-3.67	MAPK15	mitogen-activated protein kinase 15
210712_at	0.538	0.0013336	-7.69	-1.08	-4.27	LDHAL6B	lactate dehydrogenase A like 6B
1553607_at	0.538	0.0013462	-7.67	-1.084	-3.57	GRIK1-AS2///LINC00189///BACH1	GRIK1 antisense RNA 2///long intergenic non-protein coding RNA 189///BTB domain and CNC homolog 1
226847_at	0.538	0.0013517	7.66	-1.086	4.48	FST	follistatin
237639_at	0.538	0.0013574	-7.65	-1.088	-3.86	TMEM207	transmembrane protein 207
1553060_at	0.538	0.001375	-7.63	-1.094	-3.83	PSKH2	protein serine kinase H2
214983_at	0.538	0.0013862	-7.61	-1.097	-3.85	TTTY15	testis-specific transcript, Y-linked 15 (non-protein coding)
232943_at	0.538	0.0014128	-7.57	-1.106	-3.93		
234597_at	0.538	0.0014295	-7.55	-1.111	-3.77		
1569253_at	0.538	0.0014358	-7.54	-1.113	-3.49	INTS4	integrator complex subunit 4
1552842_at	0.538	0.001448	-7.53	-1.117	-5.21	HS6ST3	heparan sulfate 6-O-sulfotransferase 3
217697_at	0.538	0.0014511	-7.52	-1.118	-4.34		
1562512_at	0.538	0.0014643	-7.51	-1.122	-4.05	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A
242517_at	0.538	0.0014651	-7.50	-1.122	-4.56	KISS1R	KISS1 receptor
210113_s_at	0.538	0.0014691	7.50	-1.123	3.78	NLRP1	NLR family pyrin domain containing 1
1553424_at	0.538	0.0014755	-7.49	-1.125	-4.17	C12orf40	chromosome 12 open reading frame 40
201291_s_at	0.538	0.0014835	7.48	-1.127	3.83	TOP2A	topoisomerase (DNA) II alpha
1556149_at	0.538	0.0014843	-7.48	-1.128	-3.44	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome
241034_at	0.538	0.0015025	-7.46	-1.133	-3.53	GLS	glutaminase
1553484_at	0.538	0.0015225	-7.43	-1.139	-4.45	LINC00477	long intergenic non-protein coding RNA 477
214377_s_at	0.538	0.0015235	-7.43	-1.139	-3.80	CTRL	chymotrypsin like
213772_s_at	0.538	0.0015499	-7.40	-1.147	-3.41	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
208006_at	0.538	0.0015674	-7.38	-1.152	-3.70	FOXI1	forkhead box I1
221684_s_at	0.538	0.0015782	-7.36	-1.156	-4.06	NYX	nyctalopin
1554736_at	0.538	0.0015863	-7.35	-1.158	-4.21	ARHGAP29	Rho GTPase activating protein 29
234385_at	0.538	0.0016446	-7.28	-1.175	-3.84		
221728_x_at	0.538	0.0016473	7.28	-1.175	8.11	XIST	X inactive specific transcript (non-protein coding)
216201_at	0.538	0.0016536	-7.27	-1.177	-3.55		
207666_x_at	0.538	0.0016568	-7.27	-1.178	-3.63	SSX3	SSX family member 3
222222_s_at	0.538	0.001658	-7.27	-1.178	-4.25	HOMER3	homer scaffolding protein 3
244440_at	0.538	0.001671	-7.26	-1.182	-3.41		
217400_at	0.538	0.0017178	-7.20	-1.195	-3.42		
1563961_at	0.538	0.0017284	-7.19	-1.198	-3.46	FHAD1	forkhead associated phosphopeptide binding domain 1
205430_at	0.538	0.0017464	-7.17	-1.203	-3.87	BMP5	bone morphogenetic protein 5
1562918_at	0.538	0.0017561	-7.16	-1.205	-3.82		
AFFX-r2-Ec-bioC-3_at	0.538	0.0017588	-7.16	-1.206	-3.32		
1566691_at	0.538	0.0017667	-7.15	-1.208	-4.84		
1570100_at	0.538	0.0017711	-7.15	-1.209	-4.25		
1560800_at	0.538	0.0017712	-7.15	-1.209	-4.50		
230841_at	0.538	0.0017779	-7.14	-1.211	-3.65		
234136_at	0.538	0.0017818	-7.14	-1.212	-4.78		
235354_s_at	0.538	0.0017877	-7.13	-1.214	-4.39	RSRC1	arginine and serine rich coiled-coil 1
220901_at	0.538	0.0017881	-7.13	-1.214	-3.70	GPR157	G protein-coupled receptor 157
224096_at	0.538	0.0017897	-7.13	-1.214	-4.59	MIR4755	microRNA 4755
232222_at	0.538	0.0017903	-7.13	-1.214	-3.40	ZCCHC2	zinc finger CCHC-type containing 2
1557429_s_at	0.538	0.0018024	-7.12	-1.218	-3.75	FAM227B	family with sequence similarity 227 member B
220149_at	0.538	0.0018033	-7.11	-1.218	-3.72	C2orf54	chromosome 2 open reading frame 54
1566726_at	0.538	0.0018118	-7.11	-1.22	-3.41		
231336_at	0.538	0.001812	-7.11	-1.22	-4.31	CPNE4	copine 4
240207_at	0.538	0.0018222	-7.10	-1.223	-3.52		
243909_x_at	0.538	0.0018238	7.09	-1.223	5.38	GUSBP4	glucuronidase, beta pseudogene 4
243135_x_at	0.538	0.0018245	-7.09	-1.223	-3.54	SNX8	sorting nexin 8
233200_at	0.538	0.0018482	-7.07	-1.23	-3.81	LOC731157	uncharacterized LOC731157
1558636_s_at	0.538	0.0018593	-7.06	-1.232	-3.37	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
229977_at	0.538	0.001872	-7.05	-1.236	-3.22	RSPH14	radial spoke head 14 homolog
216058_s_at	0.538	0.001874	-7.04	-1.236	-3.58	CYP2C19	cytochrome P450 family 2 subfamily C member 19
237253_at	0.538	0.0018794	-7.04	-1.238	-3.33	IGSF11-AS1	IGSF11 antisense RNA 1
1562399_at	0.538	0.0018822	-7.04	-1.238	-3.40		
216625_at	0.538	0.001888	-7.03	-1.24	-3.97		
233471_at	0.538	0.001906	-7.01	-1.244	-4.81	PTPN5	protein tyrosine phosphatase, non-receptor type 5
239572_at	0.538	0.0019073	-7.01	-1.245	-4.49	GJA3	gap junction protein alpha 3
241274_at	0.538	0.0019153	-7.00	-1.247	-4.13		
1556618_at	0.538	0.0019324	6.99	-1.251	3.46	ELK4	ELK4, ETS transcription factor
243925_at	0.538	0.0019622	6.96	-1.259	3.45		
218786_at	0.538	0.0019691	-6.95	-1.26	-3.38	NT5DC3	5'-nucleotidase domain containing 3
223966_at	0.538	0.0019837	-6.94	-1.264	-5.05	UBE2D3	ubiquitin conjugating enzyme E2 D3
242660_at	0.538	0.0019856	6.94	-1.264	3.21	MALRD1	MAM and LDL receptor class A domain containing 1
1563187_at	0.538	0.0019988	-6.93	-1.268	-5.22		
216314_at	0.538	0.0020133	-6.91	-1.271	-3.89	CRISP1	cysteine rich secretory protein 1
239927_at	0.538	0.0020159	6.91	-1.272	3.27		
216108_at	0.538	0.0020176	-6.91	-1.272	-3.56	LOC105373738	uncharacterized LOC105373738
1568487_x_at	0.538	0.0020221	6.91	-1.273	4.15		
1552304_at	0.538	0.0020324	6.90	-1.276	3.30	ALG10	ALG10, alpha-1,2-glucosyltransferase
229400_at	0.538	0.0020366	-6.89	-1.277	-3.66	HOXD10	homeobox D10
221609_s_at	0.538	0.0020471	-6.89	-1.279	-3.53	WNT6	Wnt family member 6
211363_s_at	0.538	0.0020477	-6.88	-1.279	-3.50	MTAP	methylthioadenosine phosphorylase
1555727_at	0.538	0.0020621	-6.87	-1.283	-3.27		
234867_at	0.538	0.0020765	-6.86	-1.286	-3.23		
240322_at	0.538	0.0020806	-6.86	-1.287	-4.82		
1560187_at	0.538	0.0020876	-6.85	-1.289	-4.23		
215074_at	0.538	0.0020943	-6.84	-1.291	-3.16	MYO1B	myosin IB
1553472_at	0.538	0.0020957	-6.84	-1.291	-3.99	LOC150596	uncharacterized LOC150596
227419_x_at	0.538	0.0021004	6.84	-1.292	5.00	PLAC9	placenta specific 9
235462_at	0.538	0.0021044	-6.84	-1.293	-4.19	CPEB2	cytoplasmic polyadenylation element binding protein 2
1560638_a_at	0.538	0.0021113	-6.83	-1.295	-3.62	LOC105375839	uncharacterized LOC105375839
224074_at	0.538	0.0021175	-6.83	-1.296	-3.63	VSX1	visual system homeobox 1
215944_at	0.538	0.0021471	-6.80	-1.303	-3.80	LINC01361	long intergenic non-protein coding RNA 1361
235839_at	0.538	0.0021555	-6.79	-1.305	-3.40	C22orf34	chromosome 22 open reading frame 34
1560494_a_at	0.538	0.0021713	-6.78	-1.309	-3.56	CPXCR1	CPX chromosome region, candidate 1
208279_s_at	0.538	0.0021813	6.77	-1.311	3.29	CDRT1	CMT1A duplicated region transcript 1
1560903_at	0.538	0.0021951	-6.76	-1.314	-3.61		
216876_s_at	0.538	0.0021956	-6.76	-1.314	-3.13	IL17A	interleukin 17A
242391_at	0.538	0.0022376	-6.73	-1.324	-4.12		
237739_at	0.538	0.00225	-6.72	-1.327	-3.76	BGLT3	beta globin locus transcript 3 (non-protein coding)
214944_at	0.538	0.0022507	-6.72	-1.327	-4.15	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
1556754_at	0.538	0.002257	-6.71	-1.328	-4.29	LINC00856	long intergenic non-protein coding RNA 856
232741_at	0.538	0.0022824	-6.69	-1.334	-3.12		
213600_at	0.538	0.0022832	-6.69	-1.334	-3.36	SIPA1L3	signal induced proliferation associated 1 like 3
244032_at	0.538	0.0022895	-6.69	-1.335	-3.77		
234704_at	0.538	0.0022935	-6.69	-1.336	-3.68	LOC105376944	uncharacterized LOC105376944
224245_at	0.538	0.0023262	-6.66	-1.344	-3.27	INGX	inhibitor of growth family, X-linked (pseudogene)
1560253_at	0.538	0.0023381	-6.65	-1.346	-3.23	LHX9	LIM homeobox 9
205624_at	0.538	0.0023433	-6.65	-1.347	-3.39	CPA3	carboxypeptidase A3
217692_at	0.538	0.0023551	-6.64	-1.35	-3.47	MAGOH2P	mago homolog 2, pseudogene
1555441_at	0.538	0.0023579	6.64	-1.35	3.39	UBA6	ubiquitin like modifier activating enzyme 6
237975_at	0.538	0.0023617	-6.63	-1.351	-3.67		
234420_at	0.538	0.0023637	-6.63	-1.352	-3.14	PIH2	pregnancy-induced hypertension syndrome-related protein
211155_s_at	0.538	0.0023654	-6.63	-1.352	-3.66	THPO	thrombopoietin
235229_at	0.538	0.0023703	-6.63	-1.353	-3.28		
220830_at	0.538	0.0023711	-6.63	-1.353	-3.44	IMPG2	interphotoreceptor matrix proteoglycan 2
1568903_at	0.538	0.0023762	-6.62	-1.354	-4.21		
1568974_at	0.538	0.0023846	-6.62	-1.356	-3.55	NHEG1	neuroblastoma highly expressed 1
1563802_at	0.538	0.0023897	-6.61	-1.357	-3.35	LINC01226	long intergenic non-protein coding RNA 1226
1560773_at	0.538	0.0023914	-6.61	-1.358	-3.83	DLGAP1	DLG associated protein 1
1556239_a_at	0.538	0.002395	6.61	-1.359	3.39		
235525_at	0.538	0.0023967	-6.61	-1.359	-3.31		
1560692_at	0.538	0.0024028	-6.60	-1.36	-3.07	VSTM2A-OT1///VSTM2A	VSTM2A overlapping transcript 1///V-set and transmembrane domain containing 2A
211459_at	0.538	0.0024393	-6.58	-1.368	-5.50		
1564819_at	0.538	0.0024393	-6.58	-1.368	-3.74	LOC101928225	uncharacterized LOC101928225
211083_s_at	0.538	0.0024559	-6.57	-1.371	-3.08	MAP3K13	mitogen-activated protein kinase kinase kinase 13
220843_s_at	0.538	0.0024726	-6.56	-1.375	-3.49	DCAF13	DDB1 and CUL4 associated factor 13
211054_at	0.538	0.0024791	-6.55	-1.376	-3.77	INVS	inversin
207051_at	0.538	0.0024809	-6.55	-1.377	-3.08	SLC17A4	solute carrier family 17 member 4
231027_at	0.538	0.0024827	-6.55	-1.377	-3.45		
211233_x_at	0.538	0.0025161	-6.53	-1.384	-3.35	ESR1	estrogen receptor 1
206326_at	0.538	0.002518	6.52	-1.384	3.42	GRP	gastrin releasing peptide
214456_x_at	0.538	0.0025238	-6.52	-1.386	-3.30	SAA2///SAA1	serum amyloid A2///serum amyloid A1
231258_at	0.538	0.0025272	-6.52	-1.386	-3.08	SARAF	store-operated calcium entry associated regulatory factor
207490_at	0.538	0.0025328	-6.51	-1.388	-3.45	TUBA4B	tubulin alpha 4b
1554672_at	0.538	0.0025384	-6.51	-1.389	-3.17	TTC26	tetratricopeptide repeat domain 26
1566938_at	0.538	0.0025495	-6.50	-1.391	-3.56		
214094_at	0.538	0.0025555	-6.50	-1.392	-3.64	FUBP1	far upstream element binding protein 1
228404_at	0.538	0.0025633	-6.49	-1.394	-3.81	IRX2	iroquois homeobox 2
244346_at	0.538	0.0025681	-6.49	-1.395	-3.46		
216029_at	0.538	0.0025767	-6.49	-1.397	-3.15		
244416_at	0.538	0.0025837	-6.48	-1.398	-3.57	TTC17	tetratricopeptide repeat domain 17
1555673_at	0.538	0.0025992	-6.47	-1.401	-3.30	KRTAP2-3///KRTAP2-4	keratin associated protein 2-3///keratin associated protein 2-4
214419_s_at	0.538	0.0025993	-6.47	-1.401	-3.40	CYP2C9	cytochrome P450 family 2 subfamily C member 9
241575_at	0.538	0.0026036	-6.47	-1.402	-4.45		
220366_at	0.538	0.0026064	-6.47	-1.403	-3.06	ELSPBP1	epididymal sperm binding protein 1
206750_at	0.538	0.002621	-6.46	-1.406	-4.66	MAFK	MAF bZIP transcription factor K
204997_at	0.538	0.0026412	6.44	-1.41	4.62	GPD1	glycerol-3-phosphate dehydrogenase 1
1555741_at	0.538	0.0026719	-6.42	-1.416	-3.20	MRAP	melanocortin 2 receptor accessory protein
1553842_at	0.538	0.0026768	-6.42	-1.417	-3.64	BEND2	BEN domain containing 2
220418_at	0.538	0.0026804	-6.42	-1.417	-3.14	UBASH3A	ubiquitin associated and SH3 domain containing A
1559289_at	0.538	0.0026813	-6.42	-1.418	-2.97	TADA1	transcriptional adaptor 1
1556715_at	0.538	0.0026965	-6.41	-1.421	-3.15	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1
1561472_at	0.538	0.0027025	-6.41	-1.422	-3.97	LOC728805	uncharacterized LOC728805
1556145_a_at	0.538	0.0027231	6.39	-1.426	3.07	LOC100131170	uncharacterized LOC100131170
209498_at	0.538	0.0027289	6.39	-1.427	3.17	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
234018_s_at	0.538	0.00273	6.39	-1.427	3.71	SEL1L2	SEL1L2 ERAD E3 ligase adaptor subunit
239097_at	0.538	0.0027475	-6.38	-1.431	-3.34	FRRS1L	ferric chelate reductase 1 like
237710_at	0.538	0.0027514	-6.38	-1.431	-3.25		
229756_at	0.538	0.0027573	-6.37	-1.432	-3.16	ID2-AS1	ID2 antisense RNA 1 (head to head)
1567860_at	0.538	0.0027686	-6.36	-1.435	-4.36		
216828_at	0.538	0.0027717	-6.36	-1.435	-5.08	LOC100505874///MLLT10P1	uncharacterized LOC100505874///myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10 pseudogene 1
1566835_at	0.538	0.0027734	-6.36	-1.436	-3.32		
221133_s_at	0.538	0.0027757	6.36	-1.436	3.44	CLDN18	claudin 18
1565894_at	0.538	0.0027789	-6.36	-1.437	-3.31		
1568365_at	0.538	0.002779	-6.36	-1.437	-3.33		
238004_at	0.538	0.0028292	-6.33	-1.446	-3.14	PGBD2	piggyBac transposable element derived 2
209918_at	0.538	0.0028317	-6.33	-1.447	-3.18	GGTLC2	gamma-glutamyltransferase light chain 2
1553582_a_at	0.538	0.0028379	-6.32	-1.448	-3.79	SPAG11A///SPAG11B	sperm associated antigen 11A///sperm associated antigen 11B
233282_at	0.538	0.0028381	-6.32	-1.448	-3.36		
1555445_at	0.538	0.0028395	6.32	-1.448	3.89	CA8	carbonic anhydrase 8
210401_at	0.538	0.0028395	-6.32	-1.448	-3.16	P2RX1	purinergic receptor P2X 1
1565799_at	0.538	0.00285	-6.32	-1.45	-4.78	RAB3IP	RAB3A interacting protein
220315_at	0.538	0.0028512	6.32	-1.45	3.61	PARP11	poly(ADP-ribose) polymerase family member 11
1570155_at	0.538	0.0028684	-6.31	-1.454	-3.39	LINC01111	long intergenic non-protein coding RNA 1111
221178_at	0.538	0.0028757	-6.30	-1.455	-3.08	BAIAP2L2	BAI1 associated protein 2 like 2
221633_at	0.538	0.0028777	-6.30	-1.455	-2.92	NCAPH2	non-SMC condensin II complex subunit H2
215730_at	0.538	0.0028849	-6.30	-1.457	-3.34	VGLL1	vestigial like family member 1
1570391_at	0.538	0.0029019	-6.29	-1.46	-3.67	CRAT37	cervical cancer-associated transcript 37
224402_s_at	0.538	0.0029214	-6.28	-1.464	-3.77	FCRL4	Fc receptor like 4
215225_s_at	0.538	0.0029217	-6.28	-1.464	-3.28	GPR17	G protein-coupled receptor 17
1553373_at	0.538	0.0029391	-6.27	-1.467	-3.69	WDR64	WD repeat domain 64
227028_s_at	0.538	0.0029478	-6.26	-1.468	-3.71	DGCR2	DiGeorge syndrome critical region gene 2
243159_x_at	0.538	0.0029581	-6.26	-1.47	-3.45		
240734_at	0.538	0.0029617	6.25	-1.471	3.53	LOC100507221	uncharacterized LOC100507221
1555580_at	0.538	0.0029632	-6.25	-1.471	-5.08	LINC00824	long intergenic non-protein coding RNA 824
222315_at	0.538	0.0029719	-6.25	-1.473	-2.88	LOC100996756	uncharacterized LOC100996756
240035_at	0.538	0.0029807	-6.24	-1.474	-3.10		
219160_s_at	0.538	0.0029868	-6.24	-1.476	-4.45	PAPOLG	poly(A) polymerase gamma
1562701_at	0.538	0.0029944	-6.24	-1.477	-3.48	CTD-2297D10.2	uncharacterized LOC101929176
211143_x_at	0.538	0.0030002	-6.23	-1.478	-3.16	NR4A1	nuclear receptor subfamily 4 group A member 1
243064_at	0.538	0.0030298	-6.22	-1.483	-3.36		
1568840_at	0.538	0.0030356	-6.21	-1.484	-3.99	DCAF13	DDB1 and CUL4 associated factor 13
240981_at	0.538	0.0030457	-6.21	-1.486	-3.80		
228796_at	0.538	0.0030603	-6.20	-1.489	-3.55	CPNE4	copine 4
217001_x_at	0.538	0.0030631	-6.20	-1.489	-3.00	HLA-DOA	major histocompatibility complex, class II, DO alpha
241323_at	0.538	0.0030634	-6.20	-1.489	-4.21		
1554045_at	0.538	0.0030668	-6.20	-1.49	-4.60	ZNF24	zinc finger protein 24
232236_at	0.538	0.00309	-6.18	-1.494	-3.97		
220501_at	0.538	0.0030967	6.18	-1.495	3.05	ACTL7A	actin like 7A
221674_s_at	0.538	0.0031046	-6.18	-1.497	-4.00	CHRD	chordin
1556161_a_at	0.538	0.0031256	6.17	-1.501	3.12	LOC105379178	uncharacterized LOC105379178
211092_s_at	0.538	0.0031475	6.15	-1.504	3.17	NF2	neurofibromin 2
1569140_at	0.538	0.0031509	-6.15	-1.505	-4.53	UBR2	ubiquitin protein ligase E3 component n-recognin 2
231977_at	0.538	0.0031736	-6.14	-1.509	-3.55	GRID1	glutamate ionotropic receptor delta type subunit 1
